Model,Score
0-hero/Matter-0.2-7B-DPO,0.10510732790525537
1TuanPham/T-VisStar-7B-v0.1,0.18800888230940044
3rd-Degree-Burn/L-3.1-Science-Writer-8B,0.23686158401184307
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,0.1695040710584752
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,0.11176905995558846
3rd-Degree-Burn/Llama-Squared-8B,0.16062176165803108
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,0.23464100666173204
AALF/FuseChat-Llama-3.1-8B-SFT-preview,0.23316062176165803
AGI-0/Artificium-llama3.1-8B-001,0.20873427091043673
AGI-0/smartllama3.1-8B-001,0.23242042931162102
AI-MO/NuminaMath-7B-TIR,0.23612139156180606
Aashraf995/Creative-7B-nerd,0.34196891191709844
Aashraf995/Qwen-Evo-7B,0.3390081421169504
Alibaba-NLP/gte-Qwen2-7B-instruct,0.2509252405625463
Alsebay/Qwen2.5-7B-test-novelist,0.29459659511472985
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,0.22871946706143598
Artples/L-MChat-7b,0.21169504071058476
AuraIndustries/Aura-8B,0.25758697261287933
Aurel9/testmerge-7b,0.19096965210954847
Azure99/Blossom-V6-7B,0.31236121391561805
Azure99/blossom-v5-llama3-8b,0.1376757957068838
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,0.17468541820873426
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,0.18726868985936343
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,0.19022945965951146
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,0.2975573649148779
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,0.19837157660991858
BAAI/Infinity-Instruct-7M-0729-mistral-7B,0.19393042190969653
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,0.19837157660991858
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,0.19393042190969653
BAAI/OPI-Llama-3.1-8B-Instruct,0.1680236861584012
BEE-spoke-data/Meta-Llama-3-8Bee,0.20873427091043673
BSC-LT/salamandra-7b,0.1154700222057735
BSC-LT/salamandra-7b-instruct,0.13249444855662473
BlackBeenie/Bloslain-8B-v0.2,0.22279792746113988
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,0.21243523316062177
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,0.11028867505551443
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,0.1991117690599556
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,0.24278312361213916
BoltMonkey/SuperNeuralDreadDevil-8b,0.22575869726128794
BramVanroy/GEITje-7B-ultra,0.11991117690599556
CYFRAGOVPL/Llama-PLLuM-8B-base,0.16654330125832717
CYFRAGOVPL/Llama-PLLuM-8B-chat,0.17542561065877127
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,0.23686158401184307
ClaudioItaly/Evolutionstory-7B-v2.2,0.2005921539600296
ClaudioItaly/intelligence-cod-rag-7b-v3,0.32272390821613617
CohereForAI/aya-expanse-8b,0.19022945965951146
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,0.21021465581051074
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,0.20725388601036268
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,0.3464100666173205
ContactDoctor/Bio-Medical-Llama-3-8B,0.22427831236121393
Corianas/Neural-Mistral-7B,0.1680236861584012
CortexLM/btlm-7b-base-v0.2,0.13471502590673576
CreitinGameplays/Llama-3.1-8B-R1-v0.1,0.10954848260547742
DRXD1000/Atlas-7B,0.11917098445595854
DRXD1000/Phoenix-7B,0.13693560325684678
DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,0.19541080680977055
DZgas/GIGABATEMAN-7B,0.18726868985936343
Daemontatox/Zirel-7B-Math,0.32272390821613617
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,0.24944485566247224
Danielbrdz/Barcenas-Llama3-8b-ORPO,0.24944485566247224
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,0.2005921539600296
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,0.19245003700962252
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,0.1991117690599556
