Model,Score
0-hero/Matter-0.2-7B-DPO,142.0
1TuanPham/T-VisStar-7B-v0.1,254.0
AI-MO/NuminaMath-7B-TIR,319.0
Aashraf995/Creative-7B-nerd,462.0
Aashraf995/Qwen-Evo-7B,458.0
Alibaba-NLP/gte-Qwen2-7B-instruct,339.0
Alsebay/Qwen2.5-7B-test-novelist,398.0
Artples/L-MChat-7b,286.0
Aurel9/testmerge-7b,258.0
Azure99/Blossom-V6-7B,422.0
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,236.0
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,257.0
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,402.0
BAAI/Infinity-Instruct-7M-0729-mistral-7B,262.0
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,262.0
BSC-LT/salamandra-7b,156.0
BSC-LT/salamandra-7b-instruct,179.0
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,328.0
BramVanroy/GEITje-7B-ultra,162.0
ClaudioItaly/Evolutionstory-7B-v2.2,271.0
ClaudioItaly/intelligence-cod-rag-7b-v3,436.0
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,468.0
Corianas/Neural-Mistral-7B,227.0
CortexLM/btlm-7b-base-v0.2,182.0
DRXD1000/Atlas-7B,161.0
DRXD1000/Phoenix-7B,185.0
DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,264.0
DZgas/GIGABATEMAN-7B,253.0
Daemontatox/Zirel-7B-Math,436.0
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,198.0
Deci/DeciLM-7B,204.0
DeepMount00/Lexora-Medium-7B,435.0
DeepMount00/Qwen2.5-7B-Instruct-MathCoder,152.0
DreadPoor/felix_dies-mistral-7B-model_stock,256.0
EnnoAi/EnnoAi-7B-French-Instruct-202502,419.0
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,234.0
EpistemeAI2/Athene-codegemma-2-7b-it-alpaca-v1.2,213.0
Etherll/Qwen2.5-7B-della-test,480.0
Etherll/Qwen2.5-Coder-7B-Instruct-Ties,372.0
FuJhen/ft-openhermes-25-mistral-7b-irca-dpo-pairs,242.0
FuJhen/mistral-instruct-7B-DPO,273.0
FuJhen/mistral_7b_v0.1_structedData_e2e,222.0
FuseAI/FuseChat-7B-v2.0,272.0
FuseAI/FuseChat-Qwen-2.5-7B-Instruct,381.0
Goekdeniz-Guelmez/josie-7b-v6.0,403.0
Goekdeniz-Guelmez/josie-7b-v6.0-step2000,436.0
GritLM/GritLM-7B-KTO,239.0
GritLM/GritLM-8x7B-KTO,305.0
HPAI-BSC/Qwen2.5-Aloe-Beta-7B,472.0
HeraiHench/Double-Down-Qwen-Math-7B,133.0
HeraiHench/Marge-Qwen-Math-7B,147.0
HuggingFaceH4/zephyr-7b-alpha,246.0
HuggingFaceH4/zephyr-7b-gemma-v0.1,253.0
Intel/neural-chat-7b-v3,208.0
Intel/neural-chat-7b-v3-1,201.0
Intel/neural-chat-7b-v3-3,221.0
Jacoby746/Inf-Silent-Kunoichi-v0.1-2x7B,272.0
Jacoby746/Inf-Silent-Kunoichi-v0.2-2x7B,279.0
Jacoby746/Proto-Athena-4x7B,263.0
Jacoby746/Proto-Athena-v0.2-4x7B,256.0
Jacoby746/Proto-Harpy-Blazing-Light-v0.1-2x7B,263.0
