Model,Average Score
3rd-Degree-Burn/L-3.1-Science-Writer-8B,0.236862
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,0.169504
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,0.111769
3rd-Degree-Burn/Llama-Squared-8B,0.160622
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,0.234641
AALF/FuseChat-Llama-3.1-8B-SFT-preview,0.233161
AGI-0/Artificium-llama3.1-8B-001,0.208734
AGI-0/smartllama3.1-8B-001,0.232420
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,0.228719
AuraIndustries/Aura-8B,0.257587
Azure99/blossom-v5-llama3-8b,0.137676
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,0.187269
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,0.198372
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,0.198372
BAAI/OPI-Llama-3.1-8B-Instruct,0.168024
BEE-spoke-data/Meta-Llama-3-8Bee,0.208734
BlackBeenie/Bloslain-8B-v0.2,0.222798
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,0.212435
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,0.110289
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,0.199112
BoltMonkey/SuperNeuralDreadDevil-8b,0.225759
CYFRAGOVPL/Llama-PLLuM-8B-base,0.166543
CYFRAGOVPL/Llama-PLLuM-8B-chat,0.175426
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,0.236862
CohereForAI/aya-expanse-8b,0.190229
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,0.210215
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,0.207254
ContactDoctor/Bio-Medical-Llama-3-8B,0.224278
CreitinGameplays/Llama-3.1-8B-R1-v0.1,0.109548
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,0.249445
Danielbrdz/Barcenas-Llama3-8b-ORPO,0.249445
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,0.200592
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,0.192450
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,0.199112
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,0.190229
DavidAU/DeepHermes-3-Llama-3-8B-Preview-16.5B-Brainstorm,0.198372
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,0.192450
DavidAU/L3-Dark-Planet-8B,0.246484
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,0.248705
DebateLabKIT/Llama-3.1-Argunaut-1-8B-SFT,0.214656
DeepAutoAI/Explore_Llama-3.1-8B-Inst,0.245744
DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,0.256107
DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,0.260548
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.0,0.260548
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,0.260548
DeepMount00/Llama-3-8b-Ita,0.247964
DeepMount00/Llama-3.1-8b-Ita,0.264249
Delta-Vector/Baldur-8B,0.226499
Delta-Vector/Control-8B,0.248705
Delta-Vector/Control-8B-V1.1,0.249445
Delta-Vector/Tor-8B,0.211695
DevQuasar/DevQuasar-R1-Uncensored-Llama-8B,0.242783
DoppelReflEx/L3-8B-R1-WolfCore,0.251665
DoppelReflEx/L3-8B-R1-WolfCore-V1.5-test,0.246484
DoppelReflEx/L3-8B-WolfCore,0.250185
DreadPoor/Again-8B-Model_Stock,0.228719
DreadPoor/Alita99-8B-LINEAR,0.254626
DreadPoor/Aspire-8B-model_stock,0.242043
DreadPoor/Aspire_1.3-8B_model-stock,0.244264
DreadPoor/Aspire_V2-8B-Model_Stock,0.241303
DreadPoor/Aspire_V2.1-8B-Model_Stock,0.256107
DreadPoor/Aspire_V2_ALT-8B-Model_Stock,0.236121
DreadPoor/Aspire_V2_ALT_ROW-8B-Model_Stock,0.236121
DreadPoor/Aspire_V3-8B-Model_Stock,0.229460
DreadPoor/Aspire_V4-8B-Model_Stock,0.249445
DreadPoor/Aspire_V4_ALT-8B-Model_Stock,0.231680
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,0.256847
DreadPoor/Aurora_faustus-8B-LINEAR,0.256847
DreadPoor/Aurora_faustus-8B-LORABLATED,0.222058
DreadPoor/Aurora_faustus-8B-LORABLATED_ALT,0.227979
DreadPoor/Autumn_Dawn-8B-LINEAR,0.276832
DreadPoor/BaeZel-8B-LINEAR,0.253146
DreadPoor/BaeZel-8B-Model_Stock,0.258327
DreadPoor/BaeZel_V2-8B-Model_Stock,0.268690
DreadPoor/BaeZel_V2_ALT-8B-Model_Stock,0.268690
DreadPoor/BaeZel_V3-8B-Model_Stock,0.250925
DreadPoor/Blunt_Edge-8B-SLERP,0.239082
DreadPoor/Cadence-8B-LINEAR,0.243523
DreadPoor/Caelid-8B-Model_Stock,0.255366
DreadPoor/Condensed_Milk-8B-Model_Stock,0.253886
DreadPoor/CoolerCoder-8B-LINEAR,0.199112
DreadPoor/Damasteel-8B-LINEAR,0.246484
DreadPoor/Decayed-8B-LINEAR,0.246484
DreadPoor/Derivative-8B-Model_Stock,0.251665
DreadPoor/Derivative_V2-8B-Model_Stock,0.246484
DreadPoor/Derivative_V2_ALT-8B-Model_Stock,0.249445
DreadPoor/Derivative_V3-8B-Model_Stock,0.210955
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,0.261288
DreadPoor/Eunoia_Vespera-8B-LINEAR,0.256107
DreadPoor/Fu_sion_HA-8B-SLERP,0.252406
DreadPoor/H_the_eighth-8B-LINEAR,0.255366
DreadPoor/Happy_New_Year-8B-Model_Stock,0.258327
DreadPoor/Heart_Stolen-8B-Model_Stock,0.255366
DreadPoor/Heart_Stolen-ALT-8B-Model_Stock,0.253886
