Model,Score
3rd-Degree-Burn/L-3.1-Science-Writer-8B,320.0
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,229.0
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,151.0
3rd-Degree-Burn/Llama-Squared-8B,217.0
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,317.0
AALF/FuseChat-Llama-3.1-8B-SFT-preview,315.0
AGI-0/Artificium-llama3.1-8B-001,282.0
AGI-0/smartllama3.1-8B-001,314.0
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,309.0
AuraIndustries/Aura-8B,348.0
Azure99/blossom-v5-llama3-8b,186.0
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,253.0
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,268.0
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,268.0
BAAI/OPI-Llama-3.1-8B-Instruct,227.0
BEE-spoke-data/Meta-Llama-3-8Bee,282.0
BlackBeenie/Bloslain-8B-v0.2,301.0
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,287.0
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,149.0
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,269.0
BoltMonkey/SuperNeuralDreadDevil-8b,305.0
CYFRAGOVPL/Llama-PLLuM-8B-base,225.0
CYFRAGOVPL/Llama-PLLuM-8B-chat,237.0
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,320.0
CohereForAI/aya-expanse-8b,257.0
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,284.0
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,280.0
ContactDoctor/Bio-Medical-Llama-3-8B,303.0
CreitinGameplays/Llama-3.1-8B-R1-v0.1,148.0
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,337.0
Danielbrdz/Barcenas-Llama3-8b-ORPO,337.0
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,271.0
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,260.0
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,269.0
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,257.0
DavidAU/DeepHermes-3-Llama-3-8B-Preview-16.5B-Brainstorm,268.0
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,260.0
DavidAU/L3-Dark-Planet-8B,333.0
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,336.0
DebateLabKIT/Llama-3.1-Argunaut-1-8B-SFT,290.0
DeepAutoAI/Explore_Llama-3.1-8B-Inst,332.0
DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,346.0
DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,352.0
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.0,352.0
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,352.0
DeepMount00/Llama-3-8b-Ita,335.0
DeepMount00/Llama-3.1-8b-Ita,357.0
Delta-Vector/Baldur-8B,306.0
Delta-Vector/Control-8B,336.0
Delta-Vector/Control-8B-V1.1,337.0
Delta-Vector/Tor-8B,286.0
DevQuasar/DevQuasar-R1-Uncensored-Llama-8B,328.0
DoppelReflEx/L3-8B-R1-WolfCore,340.0
DoppelReflEx/L3-8B-R1-WolfCore-V1.5-test,333.0
DoppelReflEx/L3-8B-WolfCore,338.0
DreadPoor/Again-8B-Model_Stock,309.0
DreadPoor/Alita99-8B-LINEAR,344.0
DreadPoor/Aspire-8B-model_stock,327.0
DreadPoor/Aspire_1.3-8B_model-stock,330.0
DreadPoor/Aspire_V2-8B-Model_Stock,326.0
DreadPoor/Aspire_V2.1-8B-Model_Stock,346.0
DreadPoor/Aspire_V2_ALT-8B-Model_Stock,319.0
DreadPoor/Aspire_V2_ALT_ROW-8B-Model_Stock,319.0
DreadPoor/Aspire_V3-8B-Model_Stock,310.0
DreadPoor/Aspire_V4-8B-Model_Stock,337.0
DreadPoor/Aspire_V4_ALT-8B-Model_Stock,313.0
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,347.0
DreadPoor/Aurora_faustus-8B-LINEAR,347.0
DreadPoor/Aurora_faustus-8B-LORABLATED,300.0
DreadPoor/Aurora_faustus-8B-LORABLATED_ALT,308.0
DreadPoor/Autumn_Dawn-8B-LINEAR,374.0
DreadPoor/BaeZel-8B-LINEAR,342.0
DreadPoor/BaeZel-8B-Model_Stock,349.0
DreadPoor/BaeZel_V2-8B-Model_Stock,363.0
DreadPoor/BaeZel_V2_ALT-8B-Model_Stock,363.0
DreadPoor/BaeZel_V3-8B-Model_Stock,339.0
DreadPoor/Blunt_Edge-8B-SLERP,323.0
DreadPoor/Cadence-8B-LINEAR,329.0
DreadPoor/Caelid-8B-Model_Stock,345.0
DreadPoor/Condensed_Milk-8B-Model_Stock,343.0
DreadPoor/CoolerCoder-8B-LINEAR,269.0
DreadPoor/Damasteel-8B-LINEAR,333.0
DreadPoor/Decayed-8B-LINEAR,333.0
DreadPoor/Derivative-8B-Model_Stock,340.0
DreadPoor/Derivative_V2-8B-Model_Stock,333.0
DreadPoor/Derivative_V2_ALT-8B-Model_Stock,337.0
DreadPoor/Derivative_V3-8B-Model_Stock,285.0
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,353.0
DreadPoor/Eunoia_Vespera-8B-LINEAR,346.0
DreadPoor/Fu_sion_HA-8B-SLERP,341.0
DreadPoor/H_the_eighth-8B-LINEAR,345.0
DreadPoor/Happy_New_Year-8B-Model_Stock,349.0
DreadPoor/Heart_Stolen-8B-Model_Stock,345.0
DreadPoor/Heart_Stolen-ALT-8B-Model_Stock,343.0
