"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X156",4164,1,1,1,0
"X432",2379,2.29886506935687,2,30,2.51358854846083
"X510",2250,4.248,2,60,6.31483238479228
"X1069",2016,49.4742063492063,4,450,108.956691509425
"X775",1781,10.4081976417743,3,77,11.1763253069897
"X656",1780,11.826404494382,3,80,11.9935657986705
"X786",1765,65.2640226628895,22,306,69.8922355028243
"X528",1757,59.1331815594764,11,364,87.2494356963792
"X980",1728,18.0960648148148,4,98,14.3520960024864
"X846",1677,27.834824090638,3,500,85.3984527474973
"X319",1675,22.9050746268657,5,500,44.6818563140706
"X831",1674,15.331541218638,3,78,14.6964706316819
"X602",1670,58.7215568862275,6,454,118.670449432768
"X978",1618,83.0339925834363,16,485,129.20113980594
"X391",1615,10.5801857585139,3,47,8.33065753611681
"X400",1611,11.4016139044072,3,74,10.8234033236083
"X863",1599,18.4871794871795,4,106,14.1208242175486
"X338",1467,58.2699386503067,5,428,111.506773983153
"X1115",1453,74.0770818995182,9,500,139.770929692376
"X858",1447,59.6413268832066,13,342,88.4478687315986
"X1017",1437,103.637439109255,17,470,132.842127031784
"X845",1431,83.4088050314465,19,394,107.849026337087
"X833",1428,99.5518207282913,38,300,61.5945735948569
"X1128",1417,24.5666901905434,6,85,16.5068883878607
"X1045",1401,23.5653104925054,4,117,15.6849854066587
"X1085",1388,80.7961095100865,10,475,136.181087555432
"X1101",1380,98.5268115942029,24,407,111.311386687798
"X798",1361,72.0551065393093,6,500,145.210888393726
"X806",1345,109.386617100372,32,334,90.0311328390827
"X1145",1333,71.8852213053263,7,471,134.793595517507
"X57",1329,105.859292701279,43,306,78.9407409270638
"X157",1315,34.7703422053232,10,94,16.4128769319292
"X613",1301,28.4934665641814,5,97,16.7250432784491
"X703",1285,30.6396887159533,13,82,14.3687034395004
"X268",1271,87.1526357199056,29,356,94.7235030935992
"X1129",1262,81.7076069730586,25,346,91.4869894372911
"X822",1258,13.768680445151,3,71,11.4027200906199
"X1148",1247,84.1595829991981,36,288,73.4341585123918
"X240",1242,100.700483091787,29,500,126.756985066952
"X476",1229,70.6305939788446,7,466,130.028286479307
"X1052",1223,92.528209321341,57,211,34.9130176667814
"X546",1219,79.3872026251025,41,227,52.9963381357351
"X936",1218,33.4261083743842,4,295,39.7199300459393
"X522",1208,19.4155629139073,4,82,14.7391398356989
"X12",1206,34.6990049751244,17,88,13.7411680818596
"X1107",1205,45.8041493775934,7,284,52.1683781975733
"X357",1198,13.4649415692821,4,79,10.6100481821555
"X906",1193,22.0075440067058,4,185,30.4144047593525
"X1003",1184,117.944256756757,46,356,98.5324792556
"X95",1173,52.1449275362319,8,296,58.5328541850077
"X507",1132,41.1872791519435,14,215,24.8038867925472
"X620",1129,30.8494242692648,8,124,17.9857706297774
"X614",1110,54.1324324324324,16,283,48.7804704195076
"X884",1109,12.3011722272317,3,55,10.0182779022369
"X398",1108,82.6245487364621,10,482,139.300776179282
"X643",1098,28.7449908925319,6,89,16.6067881434955
"X776",1098,102.935336976321,48,325,86.1503974658477
"X545",1094,33.2970749542962,3,278,46.3966790881802
"X440",1091,91.6874427131072,14,489,151.33134681963
"X496",1090,11.3100917431193,3,57,9.29958424926654
"X286",1078,50.5027829313544,5,500,116.492397334035
"X1133",1075,94.0586046511628,21,358,105.245573020956
"X3",1064,95.9812030075188,55,250,55.3478491583329
"X734",1053,19.9021842355176,3,191,21.8437008560294
"X835",1052,52.7927756653992,17,281,43.2644252255818
"X330",1050,80.5390476190476,12,422,123.678589950148
"X1008",1048,12.3215648854962,4,39,7.31907744104091
"X153",1046,24.631931166348,3,100,19.1857027484332
"X309",1038,103.139691714836,34,371,106.859936557991
"X116",1036,20.7142857142857,4,142,17.4539678522913
"X728",1028,30.1692607003891,6,92,19.6953562564945
"X794",1028,98.2169260700389,14,499,162.319892325264
"X810",1024,22.12109375,4,93,17.669248166443
"X1040",1016,23.386811023622,5,151,17.9320277432022
"X1046",1003,108.341974077767,31,461,144.22288729758
"X875",1000,56.067,11,290,57.7236219196918
"X706",996,20.4989959839357,3,93,18.8543478049956
"X710",991,12.6801210898083,4,38,6.73042229193285
"X423",986,53.0669371196755,18,256,32.9403025969369
"X306",986,81.2799188640974,16,388,116.532014478293
"X426",984,84.145325203252,12,490,142.931124769128
"X702",968,19.2252066115702,4,75,14.9576757231518
"X76",959,41.8258602711157,26,97,11.1335562047055
"X489",951,93.0315457413249,46,233,55.7848220597659
"X812",949,145.1822971549,46,496,155.135980445849
"X8",948,27.5210970464135,8,94,14.5819092784133
"X701",945,101.51746031746,72,193,23.4204830744689
"X274",943,12.6511134676564,4,40,7.37386619668996
"X326",942,43.687898089172,26,89,11.3046049713445
"X377",941,13.7098831030818,4,40,7.84028047744747
"X328",935,93.1572192513369,33,267,73.7978160512179
"X544",932,14.5332618025751,4,51,8.03790488999075
"X773",926,17.2203023758099,5,67,11.0879071363908
"X988",924,12.3593073593074,4,35,6.6393480501964
"X323",910,79.0131868131868,12,379,110.321880502763
"X1110",909,25.5291529152915,3,214,23.7065967288997
"X335",903,52.4706533776301,9,262,45.8785750652315
"X366",901,60.4106548279689,21,217,57.0920120673992
"X127",895,97.8234636871508,16,439,142.029103845726
"X959",894,31.6487695749441,11,97,15.9020558175175
"X1087",885,34.5909604519774,14,115,15.8176088829292
"X176",884,24.4570135746606,4,499,68.1327011628161
"X402",884,56.5938914027149,9,298,55.5055954757779
"X1001",880,42.5511363636364,20,116,15.0540814547267
"X257",879,28.4926052332196,4,122,22.248741407776
"X85",876,71.9805936073059,21,271,59.1523618182385
"X300",872,78.5504587155963,26,300,80.6106842224475
"X145",871,48.0126291618829,17,107,17.9291985922412
"X903",866,20.0704387990762,4,91,15.2812818831472
"X96",860,84.1476744186047,33,256,66.8551528411031
"X304",855,88.8350877192982,39,500,95.1255902705418
"X20",846,56.8262411347518,34,115,15.601526910815
"X318",831,87.4259927797834,51,285,41.2725761302692
"X236",825,36.1284848484848,23,69,7.86879518279097
"X437",825,125.163636363636,13,459,161.633218181692
"X375",818,65.4254278728606,23,217,59.7364053876836
"X347",815,133.850306748466,14,500,177.949250617586
"X129",814,71.3562653562654,14,324,91.2582718490178
"X952",806,13.4205955334988,4,30,7.02315762310206
"X535",800,54.1425,33,142,16.9521063923904
"X869",792,90.7222222222222,13,434,133.156708762101
"X348",787,180.05082592122,75,413,120.364649349093
"X60",780,133.605128205128,71,278,45.5241388026078
"X248",776,36.7487113402062,11,92,16.873265691958
"X514",762,15.7677165354331,5,30,6.39623388561912
"X420",762,48.9685039370079,3,500,123.620807842087
"X938",762,56.1732283464567,3,500,129.520500175255
"X899",761,12.9789750328515,5,36,6.54113136042809
"X785",756,23.4603174603175,9,51,9.86047092113266
"X678",748,15.8649732620321,4,53,10.1848617418577
"X634",744,30.0013440860215,17,58,7.03280131156183
"X616",741,20.7058029689609,7,50,7.29029946435983
"X373",741,103.896086369771,61,224,49.7666038929841
"X425",735,53.0625850340136,4,500,125.068194591933
"X887",734,142.50272479564,61,392,122.056209484
"X994",730,12.8657534246575,4,30,7.89739098759815
"X997",730,106.638356164384,21,389,134.373946040604
"X961",727,44.7840440165062,22,92,14.8672312820024
"X838",724,140.35773480663,50,404,133.998608334287
"X803",721,70.877947295423,3,493,132.622497145522
"X723",710,18.7281690140845,7,34,5.30249118073256
"X637",707,59.7736916548798,4,464,103.999222258647
"X152",705,29.1588652482269,4,100,22.7430123850574
"X201",704,125.193181818182,23,500,179.071104575771
