Model,Score
01-ai/Yi-1.5-34B-Chat,0.35085122131754254
01-ai/Yi-1.5-9B-Chat,0.31162102146558107
AALF/gemma-2-27b-it-SimPO-37K-100steps,0.153219837157661
AI4free/Dhanishtha,0.1391561806069578
Amaorynho/BBAIIFEV1,0.2531458179126573
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,0.32568467801628426
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,0.31088082901554404
BAAI/OPI-Llama-3.1-8B-Instruct,0.1680236861584012
CYFRAGOVPL/PLLuM-12B-nc-chat,0.15618060695780903
Columbia-NLP/LION-Gemma-2b-sft-v1.0,0.13323464100666174
CombinHorizon/YiSM-blossom5.1-34B-SLERP,0.3612139156180607
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,0.5003700962250185
CultriX/Qwen2.5-14B-Wernicke-SLERP,0.41746854182087345
Daemontatox/AetherSett,0.3271650629163583
Daemontatox/AetherUncensored,0.17542561065877127
Daemontatox/CogitoZ,0.4811250925240563
Daemontatox/Llama3.3-70B-CogniLink,0.3671354552183568
Daemontatox/NemoR,0.19022945965951146
Daemontatox/mini-Cogito-R1,0.1391561806069578
Danielbrdz/Barcenas-R1-Qwen-1.5b,0.1835677276091784
Dans-DiscountModels/12b-mn-dans-reasoning-test-2,0.14063656550703182
Darkknight535/OpenCrystal-12B-L3,0.23316062176165803
DavidAU/Gemma-The-Writer-9B,0.27905255366395265
DavidAU/L3-Dark-Planet-8B,0.2464840858623242
DeepMount00/Llama-3.1-8b-Ita,0.26424870466321243
DoppelReflEx/MN-12B-Kakigori,0.2146558105107328
DreadPoor/Aurora_faustus-8B-LINEAR,0.25684678016284235
DreadPoor/BaeZel_V3-8B-Model_Stock,0.2509252405625463
DreadPoor/Blunt_Edge-8B-SLERP,0.23908216136195412
DreadPoor/BulkUp,0.0917838638045892
DreadPoor/Derivative_V2_ALT-8B-Model_Stock,0.24944485566247224
DreadPoor/Emu_Eggs-9B-Model_Stock,0.2783123612139156
DreadPoor/Heart_Stolen-8B-Model_Stock,0.25536639526276833
DreadPoor/Lava_Lamp-8B-SLERP,0.24278312361213916
DreadPoor/Minthy-8B-Model_Stock,0.2701702442635085
DreadPoor/Rusted_Gold-8B-LINEAR,0.24352331606217617
DreadPoor/Sellen-8B-model_stock,0.21983715766099185
DreadPoor/Summer_Dusk-8B-TIES,0.25906735751295334
DreadPoor/Summer_Rain-8B-SCE,0.20651369356032567
DreadPoor/Trinas_Nectar-8B-model_stock,0.22501850481125094
DreadPoor/VENN_1.2-8B-Model_Stock,0.24870466321243523
DreadPoor/Yearn_V3-8B-Model_Stock,0.25018504811250925
DreadPoor/test,0.23464100666173204
Enno-Ai/EnnoAi-Pro-Llama-3.1-8B-v0.9,0.15099925980754997
Epiculous/Violet_Twilight-v0.2,0.18208734270910437
EpistemeAI/Athena-gemma-2-2b-it-Philos,0.14433752775721687
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,0.1998519615099926
EpistemeAI/Mistral-Nemo-Instruct-12B-Philosophy-Math,0.18652849740932642
Etherll/Qwen2.5-Coder-7B-Instruct-Ties,0.2753515914137676
FlofloB/smollm2-135M_pretrained_400k_fineweb_uncovai_human_removed,0.10362694300518134
GalrionSoftworks/MagnusIntellectus-12B-v1,0.20429311621021465
GreenNode/GreenNode-small-9B-it,0.27091043671354553
Gryphe/Pantheon-RP-1.6-12b-Nemo,0.1991117690599556
Gunulhona/Gemma-Ko-Merge-PEFT,0.20281273131014063
HelpingAI/Priya-10B,0.14507772020725387
IlyaGusev/gemma-2-9b-it-abliterated,0.26350851221317545
Isaak-Carter/JOSIEv4o-8b-stage1-v4,0.20947446336047373
Kquant03/CognitiveFusion2-4x7B-BF16,0.17986676535899335
LeroyDyer/CheckPoint_A,0.19763138415988157
LeroyDyer/SpydazWeb_AI_HumanAI_012_INSTRUCT_XA,0.14951887490747595
LeroyDyer/SpydazWeb_HumanAI_M2,0.13397483345669875
LeroyDyer/_Spydaz_Web_AI_AGI_R1_Math_Teacher,0.19689119170984457
LeroyDyer/_Spydaz_Web_AI_BIBLE_002,0.12731310140636565
LimYeri/CodeMind-Llama3-8B-unsloth_v4-one-DPO-merged,0.20429311621021465
LimYeri/CodeMind-Llama3-8B-unsloth_v4-one-merged,0.21095484826054775
Locutusque/Llama-3-NeuralHercules-5.0-8B,0.18948926720947445
Luni/StarDust-12b-v2,0.21095484826054775
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9.1,0.44041450777202074
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3,0.17986676535899335
MaziyarPanahi/calme-2.1-rys-78b,0.4322723908216136
MaziyarPanahi/calme-2.2-qwen2-72b,0.43301258327165065
MaziyarPanahi/calme-2.4-qwen2-7b,0.28941524796447077
MrRobotoAI/MrRoboto-ProLongBASE-pt8-unaligned-8b,0.15173945225758698
Mxode/NanoLM-0.3B-Instruct-v1,0.08586232420429311
NLPark/Shi-Ci-Robin-Test_3AD80,0.3982235381199112
Naveenpoliasetty/llama3-8B-V2,0.23242042931162102
Nexesenex/Llama_3.1_8b_Dolermed_R1_V1.01,0.24278312361213916
Nitral-AI/Captain_BMO-12B,0.22649888971132495
Nohobby/MS-Schisandra-22B-v0.2,0.25684678016284235
OEvortex/HelpingAI2.5-10B,0.14655810510732792
OpenBuddy/openbuddy-llama3-70b-v21.2-32k,0.35529237601776464
OpenBuddy/openbuddy-yi1.5-34b-v21.3-32k,0.35011102886750556
OpenBuddy/openbuddy-zero-56b-v21.2-32k,0.32642487046632124
OpenGenerativeAI/Bifrost,0.37453737971872686
Pinkstack/SuperThoughts-CoT-14B-16k-o1-QwQ,0.3760177646188009
Pretergeek/OpenChat-3.5-0106_10.7B_48Layers-Appended,0.19763138415988157
Quazim0t0/Jigsaw-14B-Linear,0.38490007401924503
Quazim0t0/MFDOOM-14B,0.4078460399703923
Quazim0t0/Math_Phi4_Reason,0.35899333826794966
Qwen/Qwen1.5-0.5B-Chat,0.0851221317542561
Qwen/Qwen1.5-32B,0.31976313841598814
Qwen/Qwen2.5-32B-Instruct,0.5003700962250185
Qwen/Qwen2.5-Coder-14B,0.37231680236861586
Rakuten/RakutenAI-2.0-mini-instruct,0.08586232420429311
Ro-xe/FMixIA-7B-TIES-1,0.18060695780903036
Sakalti/Oxyge1-33B,0.533678756476684
Sakalti/Qwen2.5-1B-Instruct,0.07994078460399703
Sakalti/QwenTest-7,0.08142116950407106
Sakalti/SakaMoe-3x1.6B-Instruct,0.1384159881569208
Sakalti/SakalFusion-7B-Beta,0.09104367135455219
Saxo/Linkbricks-Horizon-AI-Superb-27B,0.25906735751295334
Skywork/Skywork-Reward-Gemma-2-27B-v0.2,0.2598075499629904
Sorawiz/Gemma-Creative-9B-Base,0.26054774241302736
Spestly/Atlas-Pro-1.5B-Preview,0.17542561065877127
Supichi/BBA99,0.09474463360473723
Supichi/BBAI_78B_Calme_3_1_Ties,0.07772020725388601
Supichi/HF_TOKEN,0.09030347890451518
T145/ZEUS-8B-V11,0.2531458179126573
T145/ZEUS-8B-V17-abliterated,0.23686158401184307
THUDM/glm-4-9b-chat,0.1850481125092524
TIGER-Lab/MAmmoTH2-7B-Plus,0.19615099925980756
Tarek07/Progenitor-V1.1-LLaMa-70B,0.41154700222057733
TheDrummer/Cydonia-22B-v1.2,0.25906735751295334
Tijmen2/cosmosage-v3,0.16506291635825315
TinyLlama/TinyLlama-1.1B-Chat-v0.1,0.08142116950407106
TinyLlama/TinyLlama_v1.1,0.0917838638045892
Triangle104/Annunaki-12b,0.231680236861584
Triangle104/BigTalker-Lite-8B,0.20355292376017764
Triangle104/Chatty-Harry_V2.0,0.23390081421169504
Triangle104/DS-Distilled-Hermes-Llama-3.1_TIES,0.08882309400444116
Triangle104/DS-R1-Distill-Q2.5-14B-Harmony_V0.1,0.3649148778682457
Triangle104/Minerva-10b,0.15099925980754997
Triangle104/Q2.5-Instruct-1M_Harmony,0.32790525536639525
UCLA-AGI/Gemma-2-9B-It-SPPO-Iter2,0.26720947446336046
VAGOsolutions/Llama-3-SauerkrautLM-70b-Instruct,0.44189489267209475
VAGOsolutions/SauerkrautLM-1.5b,0.16432272390821615
VAGOsolutions/SauerkrautLM-gemma-2-9b-it,0.29311621021465584
Xclbr7/Hyena-12b,0.21021465581051074
Xclbr7/caliburn-12b,0.22797927461139897
Xiaojian9992024/Qwen2.5-Dyanka-7B-Preview,0.35233160621761656
Youlln/1PARAMMYL-8B-ModelStock,0.27461139896373055
abacusai/bigstral-12b-32k,0.15840118430792005
abhishek/autotrain-llama3-70b-orpo-v1,0.11250925240562547
agentlans/Gemma2-9B-AdvancedFuse,0.28275351591413767
agentlans/Llama3.1-LexiHermes-SuperStorm,0.24796447076239822
allenai/Llama-3.1-Tulu-3-70B,0.33456698741672836
allenai/Llama-3.1-Tulu-3-70B-SFT,0.32642487046632124
