"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X1309",4195,1,1,1,0
"X784",2748,3.26564774381368,2,30,3.97004056830007
"X973",2484,4.1292270531401,2,30,4.6984594057769
"X138",1909,8.79832372970141,3,30,6.73694695034078
"X554",1844,10.0840563991323,3,30,6.86399822653665
"X968",1806,9.57419712070875,3,30,6.43241262517514
"X560",1743,10.2208835341365,3,30,6.88839853310996
"X1116",1724,12.9396751740139,4,30,6.9737808536903
"X606",1723,9.83865351131747,3,30,7.19760678044714
"X969",1695,13.0908554572271,4,30,7.31997672025781
"X52",1689,11.8342214328005,4,30,7.17104755154249
"X545",1686,11.3185053380783,4,30,6.64058033614997
"X849",1634,10.2313341493268,3,30,6.38720761535029
"X143",1569,15.1153601019758,5,30,6.36697272830051
"X953",1545,9.90032362459547,3,30,6.50222410325741
"X997",1528,10.5111256544503,4,30,6.57732261629836
"X6",1493,10.370395177495,3,30,7.02352287938865
"X1288",1481,15.7852802160702,5,30,6.73021219238547
"X82",1471,11.455472467709,3,30,7.2836987616713
"X31",1412,17.4405099150142,6,30,6.1531368774162
"X256",1381,17.2918175235337,5,30,6.33596803729128
"X283",1375,11.5890909090909,3,30,7.62841716512346
"X225",1374,16.2962154294032,5,30,6.75534588125629
"X148",1319,10.7824109173616,4,30,6.58137759569522
"X177",1306,10.6638591117917,4,30,6.32536910922001
"X542",1306,18.9050535987749,8,30,5.55696564339532
"X889",1287,13.8267288267288,5,30,6.43609333803953
"X826",1272,10.4205974842767,3,30,6.41864786368924
"X965",1252,16.9225239616613,6,30,6.2423404591466
"X1027",1249,17.5852682145717,6,30,5.55271712011193
"X813",1200,17.4875,5,30,6.34902371774383
"X335",1199,16.4712260216847,6,30,5.84530384524153
"X820",1186,9.53962900505902,3,30,6.62692611515055
"X196",1178,16.741935483871,5,30,6.75682407102961
"X716",1164,12.463058419244,5,30,6.2897514199861
"X237",1160,12.3198275862069,4,30,6.81446109676127
"X1218",1142,20.8730297723292,11,30,4.75283847262643
"X271",1130,21.8752212389381,11,30,4.50640781791192
"X972",1104,11.320652173913,4,30,6.62740328331034
"X630",1071,10.0812324929972,3,30,6.55115975843025
"X830",1066,11.4821763602251,4,30,6.78026419021085
"X873",1057,10.7578051087985,3,30,6.99783503505838
"X108",1056,18.3409090909091,8,30,5.27187590624766
"X814",1037,11.4484088717454,3,30,6.95326996451726
"X617",1035,19.9072463768116,7,30,5.49301434795693
"X197",1034,20.7814313346228,11,30,4.86095169549034
