"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X1309",4195,1,1,1,0
"X784",2789,3.97705270706346,2,57,6.61279278895102
"X973",2510,4.53266932270916,2,47,5.90541972349273
"X52",2224,23.1353417266187,4,111,24.3898486119281
"X1288",2112,26.6898674242424,5,104,20.8036529692602
"X138",2087,11.0795400095831,3,57,10.0119486706296
"X545",2048,17.0517578125,4,80,15.3723769301496
"X31",2007,25.9646238166418,6,97,16.209687911829
"X554",2003,11.808287568647,3,56,9.86756415691276
"X969",1980,17.0641414141414,4,63,11.4686305472718
"X968",1929,11.4758942457232,3,55,9.83898190245195
"X606",1921,12.5075481520042,3,53,11.2535212209658
"X1027",1918,31.0464025026069,6,110,23.6318361054268
"X560",1913,11.919498170413,3,52,9.32708754602055
"X1116",1905,15.7097112860892,4,64,10.3482042433245
"X931",1903,34.3389385181293,17,98,13.632636673776
"X542",1886,25.1537645811241,8,80,11.2602068822007
"X256",1763,21.9739081111741,5,68,11.3209999381157
"X82",1734,14.6407151095732,3,57,11.246469357201
"X849",1726,11.9183082271147,3,47,9.14873813933061
"X997",1711,13.2670952659264,4,61,10.9016050501152
"X6",1709,13.9654768870685,3,62,11.4979115081556
"X143",1692,16.7754137115839,5,46,8.77239154767061
"X652",1667,33.3491301739652,18,82,10.9344002207037
"X225",1639,19.5265405735204,5,53,10.2803971825115
"X662",1639,47.2068334350214,25,112,19.351369688764
"X953",1632,11.7843137254902,3,47,9.18820447255137
"X196",1632,22.5036764705882,5,55,11.3043286701926
"X4",1627,30.3534111862323,12,86,14.0155814839953
"X965",1624,22.7444581280788,6,69,12.811418344662
"X283",1583,16.1326595072647,3,63,12.4504109036999
"X301",1567,30.9853222718571,17,64,7.35301531585206
"X1202",1551,26.2527401676338,9,55,9.1184649901702
"X36",1520,30.3861842105263,18,56,7.20938191087241
"X148",1499,14.4876584389593,4,63,12.0021282514463
"X271",1486,25.7362045760431,12,53,7.79391942019488
"X596",1480,24.7574324324324,7,60,11.4326649156939
"X335",1476,20.4254742547425,7,50,10.2177247846539
"X1218",1454,23.9250343878955,11,52,8.09105224685319
"X889",1447,16.4796129923981,5,49,10.1389771644583
"X813",1422,20.2025316455696,5,51,9.69585584718974
"X177",1404,12.9615384615385,4,60,10.4585501338862
"X617",1403,24.1318602993585,7,52,9.36060757705226
"X134",1387,37.0829127613554,22,97,14.456569406789
"X1133",1384,27.2218208092486,14,49,7.46265229852479
"X237",1354,15.9822747415066,4,60,11.5772279025767
"X1189",1354,28.4593796159527,11,56,8.75385105323876
"X106",1342,26.9232488822653,14,53,8.10616978245819
"X826",1334,11.688155922039,3,47,8.51468317702294
"X197",1307,24.1897475133894,11,50,8.55013780714639
"X820",1289,12.3801396431342,3,74,11.3808890828392
"X971",1282,42.8853354134165,31,86,9.15535719795511
"X28",1279,35.7779515246286,24,56,5.7270285670102
"X108",1269,21.709219858156,9,50,9.31983833207471
"X857",1259,23.8419380460683,7,62,12.55403410835
"X716",1245,14.1389558232932,5,48,8.47679642830672
"X695",1237,21.4163298302344,4,63,12.2815734756079
"X1142",1228,22.9714983713355,7,61,10.9604758715526
"X873",1224,14.7745098039216,3,82,13.0235890363086
"X1146",1222,33.126022913257,20,51,6.62982814171406
"X885",1203,31.2676641729011,16,59,7.61270350723861
"X830",1192,15.8758389261745,4,72,13.4988143323929
"X972",1191,13.6926952141058,4,91,11.9423519511307
"X803",1164,19.8616838487973,4,64,12.5131996034638
"X630",1153,13.7415437987858,3,66,12.5611345323429
"X631",1152,34.8359375,24,61,5.88759406265879
"X578",1137,17.8988566402814,4,62,12.4813723356736
"X932",1130,13.0734513274336,3,64,11.7724552608893
"X814",1124,13.4697508896797,3,44,9.34430801026929
"X696",1124,43.6085409252669,33,74,6.85115624895293
"X286",1119,18.9910634495085,5,68,13.0189043309023
"X892",1118,21.8148479427549,11,45,7.28242592934718
"X119",1100,30.3445454545455,13,62,9.68608362026423
"X234",1094,20.0694698354662,5,66,13.6860204182197
"X1194",1091,21.4729605866178,11,49,7.43867603992038
"X29",1085,24.5861751152074,6,61,12.0946144211023
"X291",1076,28.6375464684015,11,66,11.8358007607851
"X193",1060,20.7556603773585,3,455,38.3054385845361
"X1245",1047,38.4727793696275,27,61,5.78395074709102
"X644",1037,34.8881388621022,8,497,52.7836794723243
"X195",1020,29.8627450980392,13,64,11.2662829197563
"X982",1007,26.7437934458788,9,64,11.0067708562026
"X1308",995,33.3959798994975,17,56,7.99899288929902
"X508",992,24.3135080645161,7,69,12.8851755413153
"X98",991,29.3703329969728,16,54,6.00984779300288
"X759",988,31.1862348178138,15,61,9.65691781026677
"X443",984,33.2022357723577,17,59,8.2255065106265
"X506",982,33.2698574338086,14,63,11.210682241056
"X60",975,38.3712820512821,28,53,4.99646650271648
"X934",966,36.2815734989648,21,61,8.55457408831183
"X476",965,34.0227979274611,17,64,10.369696236983
"X975",956,27.3598326359833,4,487,44.9436903954203
"X895",953,40.9045120671563,5,493,64.3047849562949
"X1310",939,37.0585729499468,8,488,56.8572425685852
"X1229",929,31.0979547900969,15,62,10.6768807453554
"X471",921,35.0336590662324,16,495,29.1521860722714
"X164",912,27.4440789473684,11,65,11.5591899196523
"X111",905,36.6629834254144,20,68,9.70426703112866
"X1080",902,40.4490022172949,11,500,59.6096919666745
"X529",885,60.8124293785311,14,490,76.9019389636992
"X1073",882,32.3605442176871,14,105,13.3111436736666
"X667",879,17.5836177474403,6,49,8.58480434910933
"X621",879,40.7997724687145,32,55,4.28175660024082
"X1110",877,59.8335233751425,37,109,16.0826097411968
"X32",876,40.6632420091324,30,73,6.99956377356631
"X1289",871,35.4845005740528,20,62,9.19742222492913
"X1036",869,43.3820483314154,22,500,52.8669658945572
"X745",862,58.0719257540603,13,497,75.8509414582093
"X388",847,34.887839433294,17,109,11.907560858972
"X1054",844,20.1528436018957,7,50,8.61481545276039
"X219",840,26.75,4,499,28.1079457630379
"X1122",827,47.6880290205562,7,493,69.0418646155883
"X961",824,30.1128640776699,21,57,5.26116282911211
"X710",823,25.1749696233293,15,50,5.90710780301153
"X1052",822,28.2201946472019,18,53,6.49249025273971
"X761",811,29.1442663378545,10,94,13.1163888077526
"X1114",808,29.9034653465347,22,50,5.25018088990662
"X515",800,72.59,26,486,77.7721353139356
"X780",798,11.9586466165414,3,62,11.6094775531415
"X1284",793,30.2585119798235,20,68,6.72643708539731
"X884",775,27.0838709677419,12,63,9.14168890043418
"X1231",761,51.6438896189225,26,494,53.1888702011239
"X356",761,83.2509855453351,32,500,85.2956550210782
"X600",738,42.7940379403794,27,65,8.79255064054435
