"model","theta_atlas","se","num_items","time_sec"
"dzakwan/dzakwan-MoE-4x7b-Beta",1.27949929638302,0.0610997569647853,30,9.1766517162323
"CultriX/SevereNeuralBeagleTrix-7B",1.00032597750568,0.0451574688794327,30,9.10263109207153
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",-0.243406006451011,0.084589370934406,30,9.30528712272644
"Qwen/Qwen1.5-MoE-A2.7B",-1.26848924795245,0.0994514248875359,45,14.2143175601959
"bongchoi/MoMo-70B-LoRA-V1.1",-0.237126200477873,0.0880085557302564,30,9.06030488014221
"liminerity/Blur-7b-v1.22",-0.716227690739706,0.0973142125848274,30,9.35577178001404
"Mr-Bhaskar/fbt-mistral-7b",-0.354090341947148,0.0857109213603542,30,9.51157379150391
"Kquant03/Ryu-4x7B-MoE-bf16",-0.996927065210858,0.0988207182552447,33,10.0598433017731
"Eurdem/Defne_llama3_2x8B",-0.42773015785295,0.0875574244205033,30,9.14307498931885
"nbeerbower/llama-3-wissenschaft-8B-v2",0.745608620423547,0.0507815411353555,30,9.43109917640686
"openaccess-ai-collective/DPOpenHermes-11B",0.248995709747385,0.0580325590435287,30,9.31638503074646
"jisukim8873/falcon-7B-case-6",-1.29070907332719,0.0988151958635401,68,20.4303987026215
"elinas/chronos-mistral-7b",-1.48080460569538,0.099994219582653,51,15.2319159507751
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.0564745180609404,0.0736413618176651,30,9.23165917396545
"BarraHome/zephyr-dpo-v2",-0.550465127383747,0.0833624705408155,30,9.31914615631104
"FelixChao/Scorpio-7B",1.00678804593475,0.0448809540570726,30,8.93843507766724
"euclaise/Ferret_7B",-0.605179541952448,0.0839737301954266,30,8.83719086647034
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",-0.497059335014678,0.0797291360863459,30,8.98486518859863
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.750044353420593,0.0479585961634537,30,9.11186742782593
"mistral-community/Mistral-7B-v0.2",-0.408220077482927,0.0871309034155362,30,8.98739886283875
"MaziyarPanahi/Calme-7B-Instruct-v0.9",2.09561734024628,0.0999984614063741,137,41.9825282096863
"DiscoResearch/DiscoLM-70b",0.230409182485152,0.0607693674753959,30,9.30658388137817
"wenge-research/yayi-70b-llama2",-0.504429498212218,0.0815734143435433,30,9.19185495376587
"fhai50032/xLakeChat",-0.324516257407394,0.0885737057157257,30,8.99154019355774
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.999996811216839,0.0450494660866639,30,9.02696108818054
"statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA",-1.58745845025292,0.0999041572728995,53,16.2705790996552
"Noodlz/WizardLaker-7B",0.499362877245649,0.0537260989241259,30,8.93881297111511
"jan-hq/supermario-slerp-v3",0.726759057690016,0.0496176854788401,30,9.44086980819702
"nlpguy/Hermes-low-tune-2",0.168495581792689,0.06861565034202,30,8.93524265289307
"liminerity/e.star.7b",0.499946215016912,0.0469946460064347,30,9.0837414264679
"AA051611/O0201",-0.799345240615337,0.074860782168117,30,9.54292869567871
"fhai50032/RolePlayLake-7B-Toxic",-0.00369710642617038,0.0705456472696232,30,9.39483714103699
"Gille/StrangeMerges_3-7B-slerp",0.999365060184185,0.0456246451118061,30,9.46405935287476
"Kquant03/Medusa-7B-bf16",-0.751216399163193,0.0744124525875323,30,9.0208568572998
"NeuralNovel/Confinus-2x7B",1.25253086959531,0.0531307544575385,30,9.06622266769409
"amazingvince/where-llambo-7b",-0.532642840869415,0.0813963532601138,30,9.35953187942505
