"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X6290",3467,1,1,1,0
"X2290",3190,2.09184952978056,2,24,0.965391740615505
"X1442",1296,8.62962962962963,3,31,6.16154610180354
"X3292",1269,10.8305752561072,4,30,6.42074796885417
"X8456",1224,7.11029411764706,2,30,6.69130764133861
"X6651",1154,10.0641247833622,4,30,6.34613435929188
"X5666",1090,10.4532110091743,3,30,7.2849716221043
"X4711",1014,11.9615384615385,4,30,6.25183092628858
"X8429",1010,11.4,3,30,6.77782778291879
"X3301",1003,13.3678963110668,4,30,6.74464719090308
"X5489",888,10.4695945945946,4,30,6.42230286819602
"X6813",861,12.6399535423926,4,30,6.87719399225742
"X6755",841,12.7586206896552,4,30,6.86762591543
"X4139",823,11.2405832320778,4,30,6.68716718889431
"X2478",820,15.2012195121951,4,30,7.04596792191389
"X8094",816,13.7071078431373,3,30,6.83881010481394
"X2109",795,10.9182389937107,4,30,6.61553830167249
"X5361",787,8.90597204574333,3,30,7.08392456129067
"X2790",786,9.5763358778626,3,30,7.25688075393631
"X8190",785,9.58726114649681,3,30,7.21041910273409
"X3642",777,11.7670527670528,3,30,6.63624425584554
"X8038",742,7.70754716981132,3,30,6.35260981529508
"X3277",731,7.40766073871409,3,30,6.50821578772083
"X9882",723,12.4744121715076,5,30,6.30242847988034
"X8349",717,11.7754532775453,4,30,5.98844884105276
"X7567",716,12.3393854748603,5,30,6.23710186078684
"X2310",715,15.5244755244755,5,30,7.63270290336882
"X197",704,13.265625,4,30,6.68359577808932
"X3681",700,19.02,8,30,5.55035732007802
"X5216",692,8.20809248554913,3,30,6.99783248249655
"X5563",682,12.5,3,30,6.98713943429659
"X8272",657,11.9360730593607,3,30,7.56328131103003
"X4975",657,16.7123287671233,5,30,7.13466184195611
"X8606",653,11.260336906585,3,30,6.45462486089694
"X6063",653,15.2879019908116,5,30,7.05607192138123
"X8455",639,13.3255086071987,5,30,6.02116098763622
"X3527",638,14.3479623824451,5,30,6.60012277502203
"X9301",635,13.7779527559055,4,30,7.71103631010012
"X7923",615,13.720325203252,5,30,6.42672250132634
"X3018",604,18.955298013245,6,30,6.0104653128973
"X6150",596,16.7197986577181,6,30,6.07988920396601
"X9734",594,13.030303030303,4,30,7.25324310152399
"X7257",577,22.1195840554593,10,30,4.81295068239165
"X4652",551,13.0798548094374,4,30,6.91434429789192
"X8814",547,8.59780621572212,3,30,8.63627214970079
"X2269",545,21.5577981651376,10,30,5.17815500546849
"X2841",528,13.4375,4,30,6.99850044930337
"X2689",528,18.9526515151515,6,30,6.03151374378901
"X7759",515,16.9417475728155,6,30,5.71200054686977
"X9012",514,23.8443579766537,15,30,3.67530843360516
"X2102",509,13.4734774066798,4,30,7.83250997382947
"X1556",505,12.7564356435644,3,31,6.94465673100013
"X5169",503,15.5467196819085,5,30,5.77786890631451
"X2142",502,18.7669322709163,6,30,6.43340382549011
"X6508",496,12.6814516129032,4,30,6.37889027346342
"X7877",495,11.420202020202,3,30,7.29380497766582
"X9865",492,16.390243902439,6,30,6.15698784548033
"X5639",484,14.7520661157025,5,30,7.10964817495234
"X8251",479,12.2797494780793,4,30,6.23737445600883
"X7748",479,16.2025052192067,4,30,7.58182105085239
"X4402",477,10.9203354297694,4,31,6.70397046945448
"X8741",476,14.3109243697479,5,30,6.19609099068068
"X5224",465,17.8258064516129,5,30,6.28711228368245
"X5582",464,12.5625,5,30,6.2237244653264
"X5928",457,20.5711159737418,11,30,4.98813036970815
"X3057",456,23.9429824561403,12,30,4.22252399491153
"X4642",441,14.6462585034014,4,30,7.29520644709602
"X5411",440,20.3659090909091,10,30,5.62375547080075
"X3795",438,15.5319634703196,5,30,7.43685123684941
"X9945",435,12.1103448275862,4,30,8.37330400301475
"X6499",434,13.5622119815668,5,30,6.80829888180351
"X1609",434,18.5322580645161,7,30,5.72665426085059
"X7417",430,12.593023255814,4,31,6.42325667164673
"X5444",428,17.3364485981308,7,30,5.70786699843512
"X8073",426,16.3333333333333,6,30,6.36399184135734
"X4438",426,20.7300469483568,10,30,4.78722697555043
"X4727",421,20.7482185273159,9,30,4.99697793525901
"X2855",413,13.7796610169492,5,30,6.19758588150241
"X617",409,11.7799511002445,4,30,7.32612094063554
"X2624",407,13.3636363636364,4,30,6.31016495966483
"X9368",405,20.2814814814815,9,30,4.74912996490329
"X6134",402,22.3407960199005,13,30,4.71118765709171
"X4795",398,17.9924623115578,7,30,5.7764782719695
"X3404",391,19.0255754475703,6,30,6.12346144894609
"X2732",390,11.7666666666667,4,30,6.5446394137262
"X937",386,12.3756476683938,4,30,7.27181555923196
"X4226",385,13.9428571428571,4,30,6.56552367983516
"X6523",385,16.3844155844156,6,30,6.38502204330623
"X317",385,20.9480519480519,12,30,4.57943803382333
"X854",384,12.5911458333333,4,30,6.23449720038444
"X1887",382,13.7774869109948,4,30,7.28138719215545
"X5047",379,16.0105540897098,5,30,5.75559488180806
"X2733",375,20.3786666666667,9,30,4.92516981257595
"X1200",375,22.3386666666667,13,30,4.2300141380193
"X6088",372,14.9543010752688,4,30,6.6552014633874
"X8600",372,16.0564516129032,5,30,6.896581933214
"X2448",367,13.4386920980926,4,30,7.80786533735367
"X3694",364,9.2967032967033,4,30,6.09926067956965
"X2811",364,14.4120879120879,4,30,7.49622252220697
"X5849",363,14.099173553719,4,30,6.99337289928615
"X7857",361,22.5373961218837,10,30,4.24975331060344
"X9991",357,16.327731092437,6,30,6.03516275675473
"X8166",357,21.6918767507003,12,30,4.46714172326983
"X8449",355,13.0507042253521,4,30,6.69747556032844
"X6680",354,13.2966101694915,4,30,6.96894282613157
"X978",350,19.9457142857143,9,30,4.98708032005767
"X7981",347,16.6167146974063,5,30,5.84926828454722
"X5048",342,9.51754385964912,4,29,5.76962283129259
"X5385",338,20.2988165680473,11,30,4.92279248350863
"X4683",335,19.2388059701493,8,30,5.66555289340663
"X814",335,22.7462686567164,12,30,4.19489026064627
"X2673",333,22.7477477477477,13,30,4.54787478860222
"X9612",330,10.7,5,29,6.27081336861107
"X4899",329,12.2796352583587,3,30,7.52967170360826
"X2999",327,22.9877675840979,13,30,4.26569676927606
"X9907",325,22.3415384615385,13,30,4.23429896786797
"X1591",318,25.5031446540881,15,30,3.43001083191947
"X9104",313,24.2619808306709,17,30,3.06788449823378
"X2065",311,11.1639871382637,4,30,6.66300248506355
"X4202",311,17.6398713826367,8,30,4.90939375892568
"X8279",310,19.1193548387097,6,30,6.46138238812651
"X2797",309,10.7702265372168,4,30,6.42354791417151
"X2162",307,24.4039087947883,16,30,3.35381711584821
"X5976",306,16.483660130719,6,30,6.16026886273313
"X9876",306,22.9607843137255,11,30,4.34930912613008
"X1450",304,10.5789473684211,4,30,6.37758690492682
"X8630",303,18.2310231023102,7,30,5.99995264408417
"X3598",302,15.2682119205298,4,30,6.94861893456517
"X4985",301,11.3189368770764,4,30,6.68116308731762
"X4950",297,24.5420875420875,16,30,3.33172907068066
"X10040",294,20.5578231292517,9,30,4.88171241104729
"X3360",293,22.9590443686007,10,30,4.71281716799873
"X2591",292,23.2979452054795,15,30,3.61320543219854
"X7995",291,24.0481099656357,15,30,3.87090226516849
"X9363",288,20.6736111111111,11,30,4.46251106809916
"X2751",287,12.5400696864111,4,30,6.04854753373519
"X1000",285,23,15,30,4.01405979730472
"X3679",282,18.436170212766,5,30,6.06704858386409
"X7341",281,13.1921708185053,5,30,8.11119657717491
"X6330",279,10.8530465949821,4,29,6.11195753073705
"X9264",278,12.8597122302158,5,30,7.06686189910381
"X9467",278,22.2338129496403,15,30,4.13482269198181
"X5425",275,18.9454545454545,6,30,5.58484060577421
"X2614",274,17.2810218978102,5,30,6.79564645000837
"X8655",274,19.1204379562044,9,30,5.93648480349641
"X6149",270,23.9444444444444,16,30,3.78716609269131
"X9765",269,12.4907063197026,5,30,6.23819086318458
"X5661",263,9.98479087452471,4,30,5.96808917579975
"X7917",258,26.031007751938,18,30,2.73737067315961
"X3108",256,22.8671875,16,30,3.8620752193607
"X6928",254,25.4251968503937,17,30,3.18102000952803
"X4917",246,19.9268292682927,10,30,5.03890291219099
"X8219",246,23.5365853658537,11,30,4.13603908505361
"X6246",245,16.8571428571429,6,30,6.87296914863095
"X6037",243,20.4732510288066,8,30,6.32735636428762
"X8239",238,22.3781512605042,13,30,4.99365267433329
"X1049",238,27.327731092437,21,30,1.99835055906602
"X8415",236,18.2330508474576,5,30,6.51811949234996
"X6544",236,19.0042372881356,9,30,4.84614159429596
"X9220",233,15.3390557939914,7,30,5.83546477194681
"X9574",230,11.7260869565217,5,29,6.21863078986866
"X5393",230,18.0565217391304,7,30,5.51309089848733
"X1886",225,23.7911111111111,16,30,3.12905609784997
"X5896",225,25.4577777777778,17,30,3.47558376962526
"X9631",225,25.4711111111111,18,30,3.12682962312683
"X9701",221,11.0361990950226,5,30,6.4249904164201
"X4505",220,26.4636363636364,20,30,2.45573514824102
"X7345",219,12.1780821917808,6,30,6.02443601780806
"X8993",218,23.9311926605505,16,30,3.9791900444331
"X162",215,21.0046511627907,11,30,5.41587979616692
"X3384",215,23.953488372093,14,30,3.84120240357599
"X9517",214,17.8971962616822,5,30,6.13300863516814
"X4039",213,11.5117370892019,5,30,6.72478542032531
"X8295",212,26.2971698113208,15,30,2.85202040457095
"X4546",211,11.2274881516588,5,30,5.93499731966096
"X1599",211,20.1374407582938,10,30,4.51717053138012
"X8765",209,21.3923444976077,10,30,5.25678487912205
"X572",208,14.9134615384615,5,30,7.60766277429556
"X2093",208,16.9567307692308,4,30,7.08083436802856
"X9746",208,22.4230769230769,13,30,4.44981095552923
"X2231",208,27.3894230769231,21,30,2.22139001046537
"X485",205,15.9121951219512,6,30,6.00670357224976
"X5178",199,24.3869346733668,17,30,3.34332293281469
"X1471",198,22.6565656565657,14,30,3.66257410288435
