"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X6290",3467,1,1,1,0
"X2290",3189,2.1241768579492,2,28,1.30950894043256
"X1442",1314,8.89649923896499,3,30,6.2163288828917
"X3292",1242,10.9066022544283,4,30,6.66736830012921
"X8456",1195,6.98744769874477,2,30,6.68536813985547
"X5666",1137,10.4995602462621,3,30,7.38647947481062
"X6651",1127,9.92990239574091,4,30,6.29100843371098
"X4711",1005,12.1741293532338,4,30,5.99556005737394
"X8429",1003,11.456630109671,3,30,6.98907497968275
"X3301",985,13.1167512690355,4,30,6.74111682896001
"X5489",874,10.4347826086957,4,30,6.20818498715228
"X6813",851,12.6545240893067,4,30,7.14195805102875
"X6755",832,12.609375,4,30,6.71618614152447
"X5361",819,8.32967032967033,3,30,6.86785761563189
"X4139",819,11.3272283272283,4,30,6.624425316063
"X8094",812,13.743842364532,3,30,7.09949714374096
"X2478",793,15.3644388398487,4,30,7.0529810639179
"X8190",791,10.0480404551201,3,31,7.33727905131339
"X2790",786,9.83206106870229,3,30,7.146138956711
"X3642",772,12.4857512953368,3,33,7.08635297786608
"X2109",766,10.5169712793734,4,30,6.24544585695171
"X2310",740,15.0391891891892,5,30,7.51488045811426
"X8349",738,11.7682926829268,4,30,6.13787516974977
"X3277",736,7.9429347826087,3,30,6.73457959041888
"X197",726,13.4035812672176,4,30,6.99268097061741
"X7567",704,12.7585227272727,5,30,6.32421219081678
"X9882",701,12.4607703281027,5,30,6.14958432788322
"X8038",697,8.29985652797705,3,30,6.7675198331464
"X5216",691,8.30246020260492,3,30,7.1545856195804
"X3681",688,18.530523255814,7,30,5.71590378310224
"X4975",673,16.630014858841,5,30,7.21160540584001
"X8272",668,12.1751497005988,3,34,7.39752658175562
"X9301",666,13.2837837837838,4,30,7.32544898312097
"X6063",666,15.1621621621622,5,30,7.18483014344843
"X5563",663,12.630467571644,3,30,7.12093044378866
"X8606",662,10.7960725075529,3,33,6.80053724278448
"X7923",646,13.0294117647059,5,30,6.22179728968309
"X3527",643,13.7340590979782,5,30,6.00149567362083
"X8455",624,13.5608974358974,5,30,6.39894728218024
"X3018",619,19.2067851373183,6,30,6.15699821557347
"X9734",605,13.5256198347107,4,32,7.81648505172525
"X6150",593,16.8178752107926,5,30,6.01101614306926
"X8814",585,9.24957264957265,3,30,8.77804335793411
"X7257",567,22.289241622575,11,30,4.69616872147889
"X6508",553,12.9132007233273,4,30,6.68491618576659
"X2841",545,13.0862385321101,4,36,6.86435630483752
"X4652",544,13.0992647058824,4,34,7.09922306670217
"X9865",537,15.9832402234637,6,30,5.96551801212652
"X2689",526,19.4410646387833,6,30,5.92873117459173
"X7877",524,11.263358778626,3,32,7.20973111367216
"X2142",519,18.4335260115607,6,30,6.59990883396128
"X2269",519,21.7360308285164,11,30,5.27045312161638
"X2102",511,12.9471624266145,4,30,7.75780105613099
"X5224",511,18.3796477495108,5,31,6.52601856471837
"X5169",509,16.0766208251473,5,30,5.94529056457983
"X4402",506,11.2470355731225,4,34,6.65502423965647
"X1556",504,13.2003968253968,3,32,6.77334853224271
"X7748",504,15.8611111111111,4,36,7.0826248037638
