"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"dzakwan/dzakwan-MoE-4x7b-Beta",0.844959993481157,1.27949929638302,30,5600,0.6,0.846279347126477
"CultriX/SevereNeuralBeagleTrix-7B",0.833754495072482,1.00032597750568,30,5600,0.7,0.834474896302674
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",0.75182358401816,-0.243406006451011,30,5600,0.733333333333333,0.751923172441956
"Qwen/Qwen1.5-MoE-A2.7B",0.68082444702051,-1.26848924795245,45,5600,0.577777777777778,0.681659208517526
"bongchoi/MoMo-70B-LoRA-V1.1",0.752459460290115,-0.237126200477873,30,5600,0.7,0.752742006754873
"liminerity/Blur-7b-v1.22",0.718833666599752,-0.716227690739706,30,5600,0.6,0.719473704301366
"Mr-Bhaskar/fbt-mistral-7b",0.743938437630864,-0.354090341947148,30,5600,0.766666666666667,0.743816023470886
"Kquant03/Ryu-4x7B-MoE-bf16",0.699042491753317,-0.996927065210858,33,5600,0.818181818181818,0.698336258993816
"Eurdem/Defne_llama3_2x8B",0.739263195061383,-0.42773015785295,30,5600,0.733333333333333,0.739295133275358
"nbeerbower/llama-3-wissenschaft-8B-v2",0.81888607425562,0.745608620423547,30,5600,0.733333333333333,0.819346861011036
"openaccess-ai-collective/DPOpenHermes-11B",0.78502423531979,0.248995709747385,30,5600,0.633333333333333,0.785841241973217
"jisukim8873/falcon-7B-case-6",0.6805351365752,-1.29070907332719,68,5600,0.617647058823529,0.681308164284367
"elinas/chronos-mistral-7b",0.668837976049587,-1.48080460569538,51,5600,0.588235294117647,0.669578782821713
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.772127251095539,0.0564745180609404,30,5600,0.766666666666667,0.772156661783666
"BarraHome/zephyr-dpo-v2",0.730303129280515,-0.550465127383747,30,5600,0.8,0.729927742185078
"FelixChao/Scorpio-7B",0.834204021345111,1.00678804593475,30,5600,0.766666666666667,0.834567777294905
"euclaise/Ferret_7B",0.726391462188354,-0.605179541952448,30,5600,0.733333333333333,0.726354073295293
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",0.734234723229739,-0.497059335014678,30,5600,0.7,0.734419111326129
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.819867358495009,0.750044353420593,30,5600,0.8,0.819974364016526
"mistral-community/Mistral-7B-v0.2",0.740383561771445,-0.408220077482927,30,5600,0.733333333333333,0.740421534276497
"MaziyarPanahi/Calme-7B-Instruct-v0.9",0.859320871517065,2.09561734024628,137,5600,0.64963503649635,0.864579330129153
"DiscoResearch/DiscoLM-70b",0.783624680256535,0.230409182485152,30,5600,0.6,0.784613682125062
"wenge-research/yayi-70b-llama2",0.733614378732654,-0.504429498212218,30,5600,0.766666666666667,0.733436359228521
"fhai50032/xLakeChat",0.746266656103226,-0.324516257407394,30,5600,0.766666666666667,0.74615678171958
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.833154794079903,0.999996811216839,30,5600,0.6,0.834410564963637
"statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA",0.663089623571928,-1.58745845025292,53,5600,0.566037735849057,0.66401692662751
"Noodlz/WizardLaker-7B",0.802595304579184,0.499362877245649,30,5600,0.766666666666667,0.802788816093974
"jan-hq/supermario-slerp-v3",0.81749723854772,0.726759057690016,30,5600,0.7,0.818130078252644
"nlpguy/Hermes-low-tune-2",0.779345150174483,0.168495581792689,30,5600,0.733333333333333,0.779592969654777
"liminerity/e.star.7b",0.802822361276311,0.499946215016912,30,5600,0.666666666666667,0.803555695358589
"AA051611/O0201",0.71242117569035,-0.799345240615337,30,5600,0.666666666666667,0.712667609311663
"fhai50032/RolePlayLake-7B-Toxic",0.767692486574581,-0.00369710642617038,30,5600,0.766666666666667,0.767698011636922
"Gille/StrangeMerges_3-7B-slerp",0.832684937870951,0.999365060184185,30,5600,0.566666666666667,0.834117711324475
"Kquant03/Medusa-7B-bf16",0.715920007154275,-0.751216399163193,30,5600,0.7,0.716005752255645
"NeuralNovel/Confinus-2x7B",0.843919759091517,1.25253086959531,30,5600,0.733333333333333,0.844515377183571
"amazingvince/where-llambo-7b",0.731518904285256,-0.532642840869415,30,5600,0.7,0.731688664990563
"AA051610/A12P",0.691210524389057,-1.11303363140877,43,5600,0.651162790697674,0.691520413276718
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.72062103898012,-0.689768450249771,30,5600,0.766666666666667,0.720373037394735
"vicgalle/test-merge-2",0.690612339339732,-1.11374004515368,31,5600,0.612903225806452,0.691044909373765
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",0.767461582700468,-0.00431951373033352,30,5600,0.633333333333333,0.768183996969949
"ResplendentAI/Flora_7B",0.844029110252025,1.25086826696977,30,5600,0.766666666666667,0.844445784095393
"CausalLM/72B-preview",0.729571895261392,-0.559550410065889,30,5600,0.7,0.729731169383087
"PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B",0.665103666933033,-1.54079987810997,47,5600,0.595744680851064,0.665690713996936
"decem/Dionysus-Mistral-n1-v1",0.734437941500545,-0.493334477178969,30,5600,0.7,0.734623424129812
"ichigoberry/pandafish-2-7b-32k",0.768153133525364,-0.00023485045903416,30,5600,0.766666666666667,0.768161139630527
"icefog72/IceCappuccinoRP-7b",0.716124148048061,-0.752773584657599,30,5600,0.666666666666667,0.716390525865196
"Gille/StrangeMerges_20-7B-slerp",0.833393688842586,1.00003864738355,30,5600,0.666666666666667,0.834291679985365
"tiiuae/falcon-40b",0.734606544764935,-0.492342065959,30,5600,0.766666666666667,0.734433869063489
"ChaoticNeutrals/Prima-LelantaclesV7-experimental-7b",0.851501491336048,1.50514088674234,30,5600,0.8,0.851778878183459
"quantumaikr/quantum-v0.01",0.833097438283365,0.999991405367192,30,5600,0.566666666666667,0.834532433462629
"UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3",0.785101770387208,0.247284610028554,30,5600,0.633333333333333,0.78591919464423
"Gryphe/Pantheon-RP-1.0-8b-Llama-3",0.701872193626287,-0.949726795010382,31,5600,0.67741935483871,0.702008311062526
"indischepartij/OpenMia-Indo-Mistral-7b-v3-refined",0.750384584380297,-0.262122938188173,30,5600,0.633333333333333,0.751015021998144
"yam-peleg/Experiment29-7B",0.85918740544964,2.01270904813292,89,5600,0.674157303370786,0.862175552625292
"Yuma42/KangalKhan-Ruby-7B-Fixed",0.785272066695439,0.249292344503716,30,5600,0.6,0.786269941381411
"Undi95/Llamix2-Xwin-MoE-4x13B",0.711534842194858,-0.808829249555116,30,5600,0.666666666666667,0.711776502027146
"MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28",0.858853408152768,2.24564509043782,500,5600,0.676,0.876780212873627
"yunconglong/13B_MATH_DPO",0.857258128284135,1.81982330376236,37,5600,0.783783783783784,0.857746812581549
"DopeorNope/You_can_cry_Snowman-13B",0.80327040651816,0.500136120674738,30,5600,0.566666666666667,0.804544753411435
"traversaal-ai/traversaal-2.5-Mistral-7B",0.784378655768162,0.24190994302503,30,5600,0.7,0.784833118905153
"netcat420/MFANNv0.5",0.833648737849409,1.00030286075402,30,5600,0.733333333333333,0.834189036257934
"Eric111/Mathral",0.785388091558613,0.250203285326062,30,5600,0.633333333333333,0.786207057940437
"abhishek/autotrain-llama3-70b-orpo-v1",0.750397036483384,-0.260512523536469,30,5600,0.633333333333333,0.751027541168214
"LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0",0.740592992805808,-0.408213074244113,30,5600,0.866666666666667,0.739913960451082
"lamhieu/ghost-7b-v0.9.1",0.689353690757907,-1.13607961222604,41,5600,0.609756097560976,0.689940757014622
"Mihaiii/Metis-0.5",0.766295256519468,-0.0249598110550179,30,5600,0.766666666666667,0.766293256105749
"jefferylovely/Merkaba-Maven-0.1",0.860177024733786,2.14937454473314,202,5600,0.668316831683168,0.867356676270694
"liminerity/phigment6-slerp",0.677854780387697,-1.3212390627982,48,5600,0.583333333333333,0.678671968690761
"Novocoders/Mistral-NeuralDPO-v0.4",0.784497536297773,0.241586335601653,30,5600,0.666666666666667,0.785132172938515
"Test157t/Pasta-PrimaMaid-7b",0.800775016828976,0.479363979851605,30,5600,0.6,0.801856390348701
"NotAiLOL/Athena-Llama-3-8B-v0.1",0.697105229213083,-1.01872270977076,30,5600,0.633333333333333,0.697448704415308
"wandb/mistral-7b-zephyr-sft",0.767759224130542,-0.00444660278748867,30,5600,0.733333333333333,0.767944641854764
"diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B",0.708937166307661,-0.846291203355874,30,5600,0.666666666666667,0.709164835066948
"AA051610/A0121",0.731004583027396,-0.540512996560433,30,5600,0.833333333333333,0.730453440745676
"Zangs3011/mistral_7b_HalfEpoch_DolphinCoder",0.765969296955185,-0.0313357946772663,30,5600,0.833333333333333,0.765606474497134
