"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-Slim-7B-preview",0.727324191205885,-0.590632830750671,30,5600,0.666666666666667,0.727650892415252,0.712484678690247,5711,0.014839512515638,0.014839512515638,0.000220211131701776
"0-hero/Matter-0.2-32B",0.728658392922015,-0.577416088406125,30,5600,0.766666666666667,0.728453680496101,0.76921729994747,5711,-0.0405589070254551,0.0405589070254551,0.00164502493909951
"222gate/Blurdus-7b-v0.1",0.833353370514175,1.00002530920131,30,5600,0.6,0.834610210929871,0.85011381544388,5711,-0.016760444929705,0.016760444929705,0.000280912514241673
"AA051610/A0121",0.731004583027396,-0.540512996560433,30,5600,0.833333333333333,0.730453440745676,0.788478375065663,5711,-0.057473792038267,0.057473792038267,0.00330323677125796
"AA051610/A0127",0.735244031706834,-0.490104938882178,30,5600,0.7,0.735433855935058,0.772194011556645,5711,-0.0369499798498111,0.0369499798498111,0.00136530101090144
"AA051610/A12P",0.691210524389057,-1.11303363140877,43,5600,0.651162790697674,0.691520413276718,0.735597968832078,5711,-0.044387444443021,0.044387444443021,0.00197024522418228
"AA051611/O0201",0.71242117569035,-0.799345240615337,30,5600,0.666666666666667,0.712667609311663,0.77254421292243,5711,-0.06012303723208,0.06012303723208,0.00361477960601008
"abhishek/autotrain-llama3-70b-orpo-v1",0.750397036483384,-0.260512523536469,30,5600,0.633333333333333,0.751027541168214,0.798634214673437,5711,-0.048237178190053,0.048237178190053,0.00232682535973893
"abhishek/autotrain-llama3-8b-open-hermes-sft",0.666681023600298,-1.52598235579816,52,5600,0.634615384615385,0.666981566719839,0.673962528453861,5711,-0.00728150485356294,0.00728150485356294,5.30203129324606e-05
"abhishek/autotrain-mixtral7x8b-math",0.784318220365013,0.240392749366239,30,5600,0.7,0.784772357997141,0.780073542286815,5711,0.00424467807819795,0.00424467807819795,1.80172919875342e-05
"abideen/NexoNimbus-MoE-2x7B",0.78514486990247,0.249432408156021,30,5600,0.7,0.785603459866039,0.800560322185257,5711,-0.015415452282787,0.015415452282787,0.000237636169082882
"acrastt/kalomaze-stuff",0.747675174407394,-0.299037057870135,30,5600,0.7,0.747931952725566,0.761687970583085,5711,-0.0140127961756911,0.0140127961756911,0.000196358456661462
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.72062103898012,-0.689768450249771,30,5600,0.766666666666667,0.720373037394735,0.775871125897391,5711,-0.0552500869172711,0.0552500869172711,0.00305257210436601
"adamo1139/yi-34b-200k-rawrr-dpo-2",0.714502140729031,-0.768887094243273,30,5600,0.7,0.714580249206925,0.77709683067764,5711,-0.0625946899486091,0.0625946899486091,0.0039180952097625
"aihub-app/ZySec-7B-v1",0.768461122659165,0.00235181160528334,30,5600,0.766666666666667,0.768470787592697,0.786902468919629,5711,-0.018441346260464,0.018441346260464,0.00034008325189833
"allknowingroger/JaskierMistral-7B-slerp",0.86035423494183,2.28160065676934,500,5600,0.686,0.877447787387107,0.859394151637191,5711,0.000960083304639037,0.000960083304639037,9.21759951846613e-07
"allknowingroger/LimmyAutomerge-7B-slerp",0.857783185352087,1.89129830522418,49,5600,0.73469387755102,0.858869724008591,0.856592540710909,5711,0.00119064464117802,0.00119064464117802,1.41763466156593e-06
"allknowingroger/M7merge-7B-slerp",0.859222837656819,2.03424715605652,98,5600,0.663265306122449,0.862713175368627,0.857292943442479,5711,0.00192989421433998,0.00192989421433998,3.72449167854292e-06
"allknowingroger/Multimerge-12B-MoE",0.859501474864264,2.10338396458334,146,5600,0.643835616438356,0.865274708331478,0.85799334617405,5711,0.00150812869021399,0.00150812869021399,2.27445214624658e-06
"allknowingroger/StarlingDolphin-7B-slerp",0.743721783463736,-0.36037142390811,30,5600,0.7,0.743957268832482,0.776221327263176,5711,-0.0324995437994401,0.0324995437994401,0.00105622034717172
"alnrg2arg/blockchainlabs_test3_seminar",0.850302716154175,1.47930368869366,30,5600,0.7,0.851112246043695,0.856417440028016,5711,-0.00611472387384104,0.00611472387384104,3.73898480533216e-05
"aloobun/Cypher-7B",0.800744428067319,0.473854933722273,30,5600,0.5,0.802364236477018,0.810365960427246,5711,-0.00962153235992691,0.00962153235992691,9.25738849531207e-05
"Alsebay/L3-krai-test-2",0.659535935002768,-1.65003397445068,47,5600,0.574468085106383,0.660255940215289,0.689546489231308,5711,-0.03001055422854,0.03001055422854,0.000900633365104143
"amazingvince/where-llambo-7b",0.731518904285256,-0.532642840869415,30,5600,0.7,0.731688664990563,0.734722465417615,5711,-0.00320356113235898,0.00320356113235898,1.02628039287611e-05
"andysalerno/openchat-nectar-0.11",0.737594230433461,-0.449277434193979,30,5600,0.8,0.737258113182654,0.756610050779198,5711,-0.019015820345737,0.019015820345737,0.000361601423421346
"andysalerno/rainbowfish-v6",0.749743752047646,-0.268767570541487,30,5600,0.6,0.750550271358495,0.743302398879356,5711,0.00644135316828998,0.00644135316828998,4.14910306386393e-05
"APMIC/caigun-lora-model-34B-v2",0.73341953210999,-0.507376934384094,30,5600,0.833333333333333,0.732881396735358,0.784275958676239,5711,-0.050856426566249,0.050856426566249,0.00258637612308828
"aqweteddy/mistral_tv-neural-marconroni",0.801673408904348,0.488033290013955,30,5600,0.8,0.801682421878698,0.810541061110138,5711,-0.00886765220579,0.00886765220579,7.86352556428522e-05
"arcee-ai/Clown-DPO-Extended",0.852790876701423,1.57089747329047,30,5600,0.8,0.853075208173782,0.857643144808265,5711,-0.00485226810684203,0.00485226810684203,2.35445057806763e-05
"argilla/distilabeled-Marcoro14-7B-slerp-full",0.819877216753275,0.750158540571862,30,5600,0.733333333333333,0.820343341798625,0.833304149886185,5711,-0.01342693313291,0.01342693313291,0.000180282533355636
"ArianAskari/NeuralHermes-2.5-Mistral-7B",0.778567538350082,0.156513451444017,30,5600,0.7,0.778990702829526,0.775520924531606,5711,0.00304661381847593,0.00304661381847593,9.28185575892848e-06
"Artples/L-MChat-7b",0.750559257296059,-0.257576912436424,30,5600,0.666666666666667,0.751011102487958,0.780073542286815,5711,-0.029514284990756,0.029514284990756,0.000871093018515567
"augmxnt/shisa-base-7b-v1",0.705633002198223,-0.894953962583313,30,5600,0.633333333333333,0.706022407955126,0.659779373139555,5711,0.045853629058668,0.045853629058668,0.00210255529784992
"automerger/Experiment26Yamshadow-7B",0.858988523045014,2.04363941134294,103,5600,0.650485436893204,0.862895348199396,0.856417440028016,5711,0.00257108301699804,0.00257108301699804,6.61046788029576e-06
"automerger/PasticheInex12-7B",0.854563766161339,1.66110390055605,30,5600,0.766666666666667,0.855037179623609,0.859043950271406,5711,-0.00448018411006701,0.00448018411006701,2.00720496600969e-05
"AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1",0.662970300503697,-1.58323552268262,46,5600,0.543478260869565,0.663959971699803,0.682542461915601,5711,-0.019572161411904,0.019572161411904,0.000383069502333624
"Azazelle/SlimMelodicMaid",0.801192689591793,0.484049850655789,30,5600,0.5,0.802814912336453,0.804587637891788,5711,-0.00339494829999498,0.00339494829999498,1.15256739596388e-05
"Azure99/blossom-v5-7b",0.670290652443924,-1.45738573249139,45,5600,0.622222222222222,0.670680045668042,0.652600245140956,5711,0.017690407302968,0.017690407302968,0.000312950510544904
"BarraHome/zephyr-dpo-v2",0.730303129280515,-0.550465127383747,30,5600,0.8,0.729927742185078,0.748555419366136,5711,-0.018252290085621,0.018252290085621,0.000333146093369659
"BFauber/lora_llama2-13b_10e5_r128_a16",0.704967360729055,-0.90412465220879,30,5600,0.7,0.704994114916105,0.738399579758361,5711,-0.033432219029306,0.033432219029306,0.00111771326922349
"BFauber/lora_llama2-13b_10e5_r2_a64",0.706320184818429,-0.88367879410343,30,5600,0.666666666666667,0.706533758524812,0.733496760637366,5711,-0.0271765758189371,0.0271765758189371,0.000738566273242435
"bn22/OpenHermes-2.5-Mistral-7B-MISALIGNED",0.781286072266235,0.199360188496085,30,5600,0.666666666666667,0.781903411973234,0.782174750481527,5711,-0.000888678215291927,0.000888678215291927,7.89748970334445e-07
"bofenghuang/vigostral-7b-chat",0.751070669541531,-0.25285914417788,30,5600,0.666666666666667,0.751525269197948,0.77447032043425,5711,-0.023399650892719,0.023399650892719,0.000547543661901125
"bongchoi/MoMo-70B-LoRA-V1.1",0.752459460290115,-0.237126200477873,30,5600,0.7,0.752742006754873,0.818070390474523,5711,-0.065610930184408,0.065610930184408,0.00430479415966326
"brucethemoose/Yi-34B-200K-DARE-merge-v5",0.719420266016571,-0.706437338610737,30,5600,0.733333333333333,0.71934533028596,0.791455086674838,5711,-0.0720348206582669,0.0720348206582669,0.00518901538726868
"CausalLM/72B-preview",0.729571895261392,-0.559550410065889,30,5600,0.7,0.729731169383087,0.751707231658203,5711,-0.022135336396811,0.022135336396811,0.000489973117399985
"cgato/Thespis-7b-v0.2-SFTTest-3Epoch",0.766833287206496,-0.0157698326166852,30,5600,0.733333333333333,0.76701371783777,0.776396427946069,5711,-0.00956314073957298,0.00956314073957298,9.14536608048805e-05
