"","a1","d","g","u"
"X0",-4.43549668033338,-9.2876907524682,0.0176954638876135,1
"X1",0.389202802453034,-0.123488225411505,0.00280209614899721,1
"X2",1.34720234454559,-11.0556399077476,0.0640152281713005,1
"X3",-0.236498389363671,-2.06681075979915,0.000598319061625625,1
"X4",2.11014215072624,0.732665008105538,0.000104981546366777,1
"X5",-1.22515153157062,-4.35806676696244,0.0182465822007007,1
"X6",1.0256273378292,-0.467611014896462,0.000548437789990748,1
"X7",2.83337991013897,0.993050088754323,0.00610165218731762,1
"X8",-0.139601536961104,-2.5819390803968,0.0013287978248452,1
"X9",-0.878958496965884,-3.55939692320315,0.000392401383013028,1
"X10",-0.175341062138171,-2.97929054640986,0.000562246453298549,1
"X11",1.5321037659516,0.556835548427353,0.0115245802950297,1
"X12",0.579960862107323,-0.898684212144882,0.000150780871510376,1
"X13",0.107886235170605,-2.14885837475286,0.00276338943351202,1
"X14",-0.577003433101348,-2.66585816591745,0.00113046888092059,1
"X15",0.127495182871926,-1.04962044411723,0.00213183722264858,1
"X16",-1.02404987737479,-3.59146302474785,8.74510855958276e-05,1
"X17",-0.687628183518867,-1.19887754160851,2.8817972424983e-05,1
"X18",0.960283780530318,-1.10997581141854,8.60608971352766e-05,1
"X19",1.01731160737707,-1.58158012181603,4.68281499678145e-05,1
"X20",-0.446027188383628,-2.19905651055935,0.000168355430119708,1
"X21",-13.3254123265224,-31.5446897357031,0.0612214431373302,1
"X22",-0.452743098588243,-0.889609490286655,0.000279140366246432,1
"X23",-0.413251181582073,-2.98582739466351,0.000108422381298287,1
"X24",-0.799709558795463,-3.17167463867806,0.0565348364497728,1
"X25",-0.571955038825528,-0.960584740705576,0.00029685752840003,1
"X26",-11.8519754539931,-26.9000966505951,0.0558879445934908,1
"X27",0.0721036086769779,-2.17518399492463,0.00678997390257437,1
"X28",1.10365742345809,0.246976374960633,9.92533504533556e-05,1
"X29",21.4984252731049,-5.31775800497701,0.165972930364071,1
"X30",1.06910566580153,-0.791405196713642,8.43090659786833e-05,1
"X31",1.25905753918788,-0.263591956952979,3.35977072031406e-05,1
"X32",16.0378699109325,-3.6049391527112,0.115815776685833,1
"X33",-1.38828469133506,-4.27513951660134,3.5469767352083e-05,1
"X34",-0.484989462679789,-1.58594054367707,0.000179236667623039,1
"X35",8.80795995901483,-4.94410558838394,0.119245041287246,1
"X36",5.79640371624817,-1.94010060643545,0.13294774660845,1
"X37",36.7676198754092,-10.3347465978669,0.22976879081061,1
"X38",0.66158637868287,-0.790819385352609,0.000233216566418672,1
"X39",0.805123281556946,-1.05972812533634,0.000220613230129938,1
"X40",0.907488274923764,-1.41373271599729,7.74530254933834e-05,1
"X41",0.458227101079781,-0.22716100586488,0.00105244688119092,1
"X42",1.38430981194257,-1.44725459568629,7.99076588235213e-05,1
"X43",4.10824191940535,-3.3655694682593,0.104044923434388,1
"X44",-0.101317416382056,-1.26618018898817,0.0205135599259822,1
"X45",1.22869081527236,0.874082549476287,0.000148991862734822,1
"X46",-0.686024516257498,-1.85835655693103,6.5222056838522e-05,1
"X47",35.3242629260629,-8.34717733530327,0.0961537808019135,1
"X48",36.9965998676096,-10.3010257024168,0.205589141854435,1
"X49",-12.995856045401,-30.0053736712104,0.0135081901141335,1
"X50",0.736957233317577,-0.903696332339612,0.000114423714485452,1
"X51",-0.046852539803168,-2.40770473658222,0.0141132142627668,1
"X52",31.1560250713557,-11.7250714077204,0.114489826020735,1
"X53",0.328485100334751,-1.82000512819583,0.000581385548954855,1
"X54",0.75012655674022,0.149082164118177,0.0002577479461924,1
"X55",1.36677562668491,-1.0548880394654,5.53533904273022e-05,1
"X56",0.923614102795237,-0.0192023551388033,0.000108820386211462,1
"X57",1.57337375751063,-0.197071528651582,8.0338310187227e-05,1
"X58",0.822657738216951,-0.984788342680248,7.68686572793716e-05,1
"X59",9.87593942308159,-3.76558865158208,0.377768912186335,1
"X60",-0.78277525652226,-3.02301035162756,0.00025609959439993,1
"X61",-0.711869496718655,-2.77613272794455,8.66783183478609e-05,1
"X62",-9.24581297734762,-19.1464108261467,0.104219386844498,1
"X63",0.83433056792458,-1.19325063575255,0.000280316570420362,1
"X64",-13.767602006456,-32.4397202800997,0.0222152032405212,1
"X65",-12.0356165517536,-27.9539971528406,0.0391041568850162,1
"X66",-0.177822426197904,0.0645687969559563,0.00345347808471754,1
"X67",-0.628709966279769,-1.36097774186739,6.9310132408614e-05,1
"X68",0.573843715717779,-0.0128346057207269,0.000440208407941494,1
"X69",-0.222916577400475,-2.35790027624131,0.000470874079938739,1
"X70",1.03475207026133,-0.120045154968831,0.00272302817849541,1
"X71",-0.92866611911731,-2.25107249159794,5.75698060277881e-05,1
"X72",-0.552316864441603,-2.53236211316236,6.62592612855078e-05,1
"X73",0.72747419686666,-2.35487326814007,0.000101561249312792,1
"X74",-1.60710462691932,-2.97219191393454,2.27679772384228e-05,1
"X75",23.2971319526508,-5.58752432866328,0.190657684500856,1
"X76",-0.708610144841336,-3.48019958548842,0.0152071120772672,1
"X77",0.245514733053717,-1.84206952899773,0.000617264100790943,1
"X78",-0.139195473634362,-1.74894423721495,0.0128597574066329,1
"X79",0.0548366653916582,-1.6486803307383,0.008453191457134,1
"X80",1.63056253801381,-0.312282691332519,0.00013537573315039,1
"X81",-0.218325307997274,-3.0933996656733,0.00054405524991006,1
"X82",25.8462386333997,-8.91358855183291,0.129396078177459,1
"X83",-17.6195434844728,-40.5915093799462,0.0747066471536352,1
"X84",-13.9274743219399,-32.8272488426372,0.0146460299558539,1
"X85",10.8456964700127,-1.90386530388566,0.304988835766021,1
"X86",0.72411095577902,-1.2512962910731,0.000140380297408459,1
"X87",34.5802231549426,-5.41842714871263,0.204689664943445,1
"X88",1.25505313920661,-1.45392403667551,6.58858919959233e-05,1
"X89",1.48600857848485,0.120589621816333,0.000302438781196403,1
"X90",-0.00315185362446501,-2.92182339860853,0.195265004208915,1
"X91",-1.09502715883937,-4.06551336594437,3.91336016931414e-05,1
"X92",-0.0519649192083437,-0.8069004021984,0.00333971629485622,1
"X93",0.328713066933045,0.123645235802992,0.00151236653017214,1
"X94",0.751605715370529,-0.034340103721273,0.000191765743506654,1
"X95",-0.878007774128814,-1.92025038929756,4.44972645402876e-05,1
"X96",1.21374843350472,0.356201764062845,0.000331309937864263,1
"X97",0.127329783803116,-0.89090721313736,0.0106144522109387,1
"X98",-0.241980481762374,-3.138369239181,0.000343243419425297,1
"X99",2.9969582825762,0.60679978811146,0.0115559188393851,1
"X100",0.927917518250506,0.140913395400374,9.67991348499317e-05,1
"X101",1.19962699850952,-0.105170149007815,0.000695000542857188,1
"X102",8.96923809536328,-0.31408119231949,0.284580953624873,1
"X103",-21.8494594956013,-51.4792345145486,0.0611891790351748,1
"X104",0.235298549976689,-1.26238952408809,0.00113991559326548,1
"X105",0.128696561097059,-1.72263144187215,0.00235987445845067,1
"X106",1.50109778613985,-1.01548490738426,0.00348907302994381,1
"X107",-0.840571173366555,-1.15201267936703,0.00020748104621558,1
"X108",1.3930052277352,-0.57354517394526,2.70108584890984e-05,1
"X109",0.0207710745987405,-0.602002777858629,0.0170109712762483,1
"X110",-0.372770945890556,-2.08812936832025,0.000185358512511326,1
"X111",1.02717424603954,-10.4530238256981,0.113968731321013,1
"X112",-3.78364194037821,-7.95705331301538,0.0177866290944143,1
"X113",-0.205707895572167,-1.90432294974277,0.000616379037053799,1
"X114",0.158727592613307,-2.10987154106341,0.00130478098823742,1
"X115",-1.03402242842831,-1.74472240989719,6.93514099377042e-05,1
"X116",0.676104411481111,0.445251255222732,0.000262710956860721,1
"X117",1.79279583952968,-0.313717138962212,0.000242003946034196,1
"X118",1.14777714142664,0.140390665395666,0.000171406514343389,1
"X119",21.7956725934127,-5.03136850098691,0.085750045105161,1
"X120",-0.397208966088842,-2.83041206070635,0.000205429956961097,1
"X121",29.8122675533771,-12.4933588788404,0.075514629463578,1
"X122",0.365132730702514,-1.11300624783462,0.000267212860394966,1
"X123",-9.39231283428441,-21.4254344931403,0.0592208147164219,1
"X124",30.5538369320542,-5.55888706985098,0.261913963755955,1
"X125",22.5849221197557,-9.86785377721779,0.236201333677128,1
"X126",0.691608833906537,-0.863141165470466,0.000130743440099701,1
"X127",-0.658239848097318,-0.613255248022898,0.00031183996713401,1
"X128",1.40809421255577,0.64392355928771,0.000239685134907489,1
"X129",0.897932506701047,-1.56841375081996,9.14217503346387e-05,1
"X130",13.4654967339315,-2.67399539460328,0.237187285961757,1
"X131",-0.6258755357116,-2.00777763830249,7.76540396806998e-05,1
"X132",-18.3234029067499,-42.8985106237091,0.0804358754037701,1
"X133",17.1564607629947,-3.09644451941057,0.201705607436882,1
"X134",0.953812290250024,-1.20819075340252,0.00012290000575157,1
"X135",-0.604289640565709,-1.41332465103082,8.69094531394155e-05,1
"X136",-0.0475840870639549,-1.94017113428992,0.0123464517084629,1
"X137",-1.04070227666001,-1.78501124577894,4.94140756747814e-05,1
"X138",32.4383164498312,-7.50129344847446,0.145461283835584,1
"X139",1.8530392754942,0.834921029197664,0.0582424889135948,1
"X140",-0.463226527073014,-2.4179357829765,8.52833686805579e-05,1
"X141",0.092894134100423,-2.56629839654209,0.00390415885312191,1
"X142",-16.661265974525,-39.0343392740849,0.0333812230506873,1
"X143",-1.15635720398314,-4.19564183439537,0.0246534231007958,1
"X144",-17.0570638098185,-40.5989562643349,0.0214509907722276,1
"X145",-0.193480965727277,-2.66805298423064,0.000645423394401083,1
"X146",10.7667871872328,-2.17247780279503,0.124955839155983,1
"X147",0.579480917251133,-0.632639923198028,0.000395521673384164,1
"X148",2.0359671412908,-0.124622975239029,0.0242157035831071,1
"X149",-21.2761388336564,-50.1205084661716,0.0744081592648953,1
"X150",0.116777144487207,-2.17201709647121,0.00238029699028899,1
"X151",2.48703612463873,1.422161047427,0.0241879222573495,1
"X152",-0.878938594167078,-1.76707198761493,5.68699031233683e-05,1
"X153",1.52036507725933,0.483545167818155,3.9789938144976e-05,1
"X154",0.207739793166444,-1.77023813834939,0.00074379439937516,1
"X155",33.3100334230029,-6.88924078494018,0.19532763274668,1
"X156",0.0438543045885056,-2.06482647186676,0.0152662962588095,1
"X157",28.1892959432703,-7.38454869342871,0.322966617337281,1
"X158",0.306917862655875,-2.42813434050871,0.000455605436518874,1
"X159",-1.01806877355469,-1.53426774753227,0.000119986724432382,1
"X160",0.163604607854051,-1.84917002984008,0.00125809128927373,1
"X161",-15.0603517725512,-35.658486519743,0.0249781236128606,1
"X162",0.840452135989849,0.318805332098289,0.000638056960915059,1
"X163",-1.32385411888616,-2.62173082500971,2.86600855624377e-05,1
"X164",-1.23129938308401,-3.83963916544543,0.0162835696724851,1
"X165",1.44388293687757,-0.0974139371872632,9.35575636417644e-05,1
"X166",0.128050710864195,0.00196292652113087,0.00654703978316009,1
"X167",-0.212462377602545,-1.9596983356171,0.000559011734144955,1
"X168",-0.100713164465702,-1.97282424232004,0.00289779038107656,1
"X169",0.195045090254391,-2.30559366705583,0.000798761669177947,1
"X170",0.551970311562103,-1.24337674797334,0.000136602811867648,1
"X171",1.3575649567013,-1.36916434492974,3.065021607084e-05,1
"X172",23.495884262468,-9.2463147265283,0.132989485484987,1
"X173",13.4513417329932,-2.67483101017847,0.26596910705354,1
"X174",0.209994105090312,-1.81135768713825,0.000934889942009347,1
"X175",-1.06081453295897,-4.28240770769174,0.0303787398195442,1
"X176",0.26069551919427,-0.55234544113901,0.00308503797355902,1
"X177",29.9184618358969,-6.35594723259259,0.23746274535004,1
"X178",18.7333990449127,-3.87213440607912,0.132725008912704,1
"X179",0.0534057916267645,-2.7777456343415,0.0227887466311476,1
"X180",-1.56490658365431,-3.41334648683202,1.62218203777377e-05,1
"X181",28.0539152544567,-12.120103970341,0.0832764140206882,1
"X182",2.0276257266747,-8.06940029406175,0.191067441707925,1
"X183",1.7042771818293,-0.319825879378026,0.00314394227975703,1
"X184",-0.467441046415441,-2.36573388238067,0.00077035751714909,1
"X185",-0.10302141495566,-2.19913137466372,0.00278627423172286,1
"X186",0.205984765423164,-1.44277043601847,0.000840089411019848,1
"X187",34.0616866804244,-12.7148502008261,0.094663899720023,1
"X188",31.9271430486637,-5.11483015425903,0.185886813362668,1
"X189",0.661724753985451,-0.903078536017369,0.000299093799223218,1
"X190",-5.01156212699085,-10.3842055500077,0.058849335908749,1
"X191",21.1751061694922,-4.98015581986202,0.318401110160128,1
"X192",-0.799332965958719,-3.42965621061985,0.000333925230032304,1
"X193",-0.664564125125801,-1.75438576586446,8.90798729174636e-05,1
"X194",0.985687173590927,0.347508186852173,0.000407302633268313,1
"X195",0.747670316494461,-0.769877824085965,0.000179159089435128,1
"X196",1.34526092940647,-1.16335558842002,4.06403314043234e-05,1
"X197",-20.5263854950785,-47.8751623832288,0.0194489955184768,1
"X198",-10.6720650489363,-24.5122295340635,0.12176294490666,1
"X199",25.9342991237251,-5.36982173941428,0.195997526822523,1
"X200",3.54042641181905,0.291299174756368,0.0304071693681725,1
"X201",-1.39227868349774,-4.61882828536998,0.0274725257129881,1
"X202",18.5447711617408,-7.67978882947047,0.191648500577669,1
"X203",2.92922277322915,1.71486489979106,0.0189219137792844,1
"X204",-0.273368626548032,-2.21989159322068,0.000290277048701052,1
"X205",0.877853850036617,-0.877642625994244,0.000414088579501812,1
"X206",-7.26229192716684,-15.1943682680656,0.0604324185154787,1
"X207",-0.275259457698314,-3.5064212151773,0.000477341773447238,1
"X208",-13.0781770320889,-31.0943790602377,0.0239199181960011,1
"X209",1.8960225165729,0.380676061515797,4.91294747823825e-05,1
"X210",24.9697791976922,-6.08137972848403,0.261149797930298,1
"X211",0.749422275616879,-1.53357907555912,0.000115875383313443,1
"X212",15.0781841393958,-4.46916217747318,0.105118285889853,1
"X213",22.7391746800907,-4.91023961265968,0.144664211069422,1
"X214",1.28885043082008,-0.950799351087829,6.43912075480697e-05,1
"X215",-0.075839861192581,-1.78203692203749,0.00452500306691045,1
"X216",-0.85198473803793,-3.46004845370557,0.000224606362833333,1
"X217",0.828900327533872,-0.595179099018459,0.000183980473648112,1
"X218",-0.471431124501141,-2.7977835126636,9.02385832184099e-05,1
"X219",1.11451721975384,0.554408051405326,0.000399984820974026,1
"X220",0.176051610550133,-2.11185276678928,0.0010312239651203,1
"X221",1.85763169401266,0.00393151873979629,6.15946145851503e-05,1
"X222",0.0312896166055049,-4.85352518337557,0.0782162010575891,1
"X223",-7.39846947127468,-15.4910651358371,0.0811767803237533,1
"X224",-4.67295406432709,-9.6066370218585,0.028686114471972,1
"X225",0.406090394116004,-1.83840788628435,0.00019259267068303,1
"X226",-0.271605059845707,-3.43038667393875,0.00027828039351004,1
"X227",9.47957163738509,-5.13075069902102,0.0883269620101133,1
"X228",3.29427390701909,-0.502155874642313,0.00409069201632244,1
"X229",1.43683683514258,-3.49540719991021,0.147058014599062,1
"X230",2.54572538948845,2.32300133080933,0.0112390017516864,1
"X231",28.0574584435989,-5.25784349741005,0.370857651089158,1
"X232",0.819930159863291,-0.476035127933005,0.00870773681521379,1
"X233",0.947828536728823,-1.20782994959979,7.2397595117779e-05,1
"X234",36.0720870936766,-9.03569555615847,0.18533175558836,1
"X235",0.200133697980549,-1.14286936589508,0.000986200998543645,1
"X236",5.44486456405343,-3.3816370147734,0.0813058343128154,1
"X237",1.2692050312652,-1.40037327830725,3.90336756217917e-05,1
"X238",-17.6954363378292,-42.1943162319354,0.0271482773951908,1
"X239",2.62034222090061,0.0983847769647462,0.00436340520548069,1
"X240",-16.2167000342502,-38.2352494307483,0.0923848657141981,1
"X241",38.384785946072,-10.1046776497443,0.122495981374346,1
"X242",18.1364132128968,-4.35912535903628,0.21372316648097,1
"X243",0.994511927440991,0.184661649220016,0.000291391452769541,1
"X244",34.5400414749373,-10.1088530285155,0.136786701257714,1
"X245",-0.245533508624105,-2.24762139713997,0.000341453670894769,1
"X246",-12.4743559871992,-28.7400395013083,0.0835666957175986,1
"X247",-0.384971498407393,-3.38620256537578,0.000131553619414969,1
"X248",0.462895103639106,-0.821344712869839,0.000262566252164267,1
"X249",2.57923588423793,1.17138797024074,0.0435922691248148,1
