"","a1","d","g","u"
"X0",-4.35145809716558,-9.92662157379582,0.0202160993462577,1
"X1",0.375230745545147,-0.101829980880392,5.30916223364679e-05,1
"X2",-18.3721786368403,-47.861133298818,0.0253509224909578,1
"X3",-0.081236278133496,-1.92686901761635,8.93652554840437e-05,1
"X4",1.9669224914302,0.739912476327147,6.44860498785722e-06,1
"X5",-1.12430609107453,-4.3443412966919,0.0177906733483254,1
"X6",4.1964497461757,-1.16325285193249,0.133062541344011,1
"X7",2.36208346309682,0.929020834322218,5.76630544448608e-06,1
"X8",-0.285864543470645,-2.733617314073,3.76718546961859e-05,1
"X9",-0.82183183564668,-3.57486431245103,1.71746309412126e-05,1
"X10",-0.350009760620265,-3.1808329555012,8.00892841217059e-06,1
"X11",1.27808232408523,0.523151791718601,1.32143596820052e-05,1
"X12",0.71340023208843,-0.794969809757876,1.00605240271509e-05,1
"X13",-0.00606694163299895,-2.21373318729545,0.000274249910630146,1
"X14",-0.54443834089798,-2.67401818302556,6.1315961672612e-05,1
"X15",0.252863803741366,-0.932100338074696,6.73800593102364e-05,1
"X16",-0.954145796076338,-3.61042203561994,6.19656654302925e-06,1
"X17",-0.581394493911996,-1.14640280258613,1.11282816652003e-06,1
"X18",0.829527694626584,-1.12901805237247,8.29765742253563e-06,1
"X19",0.901341044893858,-1.58943943180231,4.941165438483e-06,1
"X20",-0.292426984674301,-2.06431619132532,1.83573092038947e-05,1
"X21",-13.1143946962571,-33.734839449899,0.0619075580069612,1
"X22",-0.333988106068002,-0.809468556075592,3.67846612477594e-05,1
"X23",-0.186430739467796,-2.76485591335185,1.27931575870557e-05,1
"X24",-0.717549069933609,-3.08697725338747,0.0515940825150185,1
"X25",-0.592834916118571,-1.02600944745146,2.72797444856171e-05,1
"X26",-11.0577851974134,-27.3464154811702,0.0570982624680208,1
"X27",0.224473756240837,-1.9838191669893,0.000120830308586459,1
"X28",0.961097572978386,0.214795521104059,8.28084769691003e-06,1
"X29",21.3722675908496,-5.12433784162548,0.163162495127696,1
"X30",0.955344596867884,-0.799862890050038,6.85540088828996e-06,1
"X31",1.16015695874008,-0.26094350887232,3.6085807807703e-06,1
"X32",16.0531464589855,-3.59153852242505,0.118118446743636,1
"X33",-1.27143421814524,-4.26438339349254,2.44901349735501e-06,1
"X34",-0.518615455424526,-1.66713684259053,1.32402555771579e-05,1
"X35",8.62916275371899,-4.87054069141031,0.119339574152769,1
"X36",5.82779869519493,-1.92981183607692,0.132988398780979,1
"X37",37.6193942110749,-10.3306027358361,0.229363981974849,1
"X38",0.521424643653414,-0.841567960989751,7.601693954691e-05,1
"X39",0.633811922268942,-1.11071699570004,0.000112635616530137,1
"X40",0.758847411407966,-1.44135394994994,1.9996551547549e-06,1
"X41",0.531201145294049,-0.141081317072582,7.01233369157589e-05,1
"X42",1.20110229273331,-1.4568441397302,4.85033593182937e-06,1
"X43",0.00372898010900921,-1.9454373825597,0.000427748395622007,1
"X44",-0.0810456554829305,-1.17098235685656,0.000396097377211878,1
"X45",1.27205008643489,0.982011908656692,1.13317297369189e-05,1
"X46",-0.736723720588347,-1.98813918148742,4.59392263893059e-06,1
"X47",42.528929499991,-9.74449869640803,0.0970779841073687,1
"X48",43.8918284982766,-11.3945573282684,0.204101355085285,1
"X49",-12.3955519575606,-31.1181256038863,0.013791045838894,1
"X50",0.849736361641402,-0.817684589433086,2.85739822125068e-06,1
"X51",0.113067562440743,-2.11919683913517,0.000155170486596649,1
"X52",35.8629306976497,-13.5687573381768,0.115045094981219,1
"X53",0.185285667145053,-1.89983607226922,0.000165787006964824,1
"X54",0.822347615970521,0.244894583610085,1.45957274884181e-05,1
"X55",1.23012819158045,-1.0572578712495,4.36449887320337e-06,1
"X56",0.983229253357771,0.0611298228809611,7.6335344929804e-06,1
"X57",1.37634276714072,-0.2183100030729,5.05482196420818e-06,1
"X58",0.686534741253812,-1.01718846268286,9.46559695176165e-06,1
"X59",7.22594923714672,-2.64740024047564,0.364185102971392,1
"X60",-0.733539948846197,-3.04036857889708,1.70561574777108e-05,1
"X61",-0.690453166883737,-2.82527657730953,9.13395558300345e-06,1
"X62",-8.97277756817682,-20.2040946615014,0.104703045901598,1
"X63",0.721825832371504,-1.21028304073213,1.61986846529192e-05,1
"X64",-13.4234749167973,-34.357577916452,0.0225388107788732,1
"X65",-12.0372097350404,-30.4260161806814,0.0405678430043092,1
"X66",-0.0998061182329041,0.125461954025011,0.000556934665053271,1
"X67",-0.505867976715868,-1.28384111684045,1.68209781685179e-07,1
"X68",0.652512918675179,0.0821367463140929,1.96893722717619e-05,1
"X69",-0.353248710244807,-2.51852424723727,2.21687034761856e-05,1
"X70",3.50626344226396,-0.591661314210838,0.155912721584287,1
"X71",-0.930618288057648,-2.35427653208837,3.47504882311458e-06,1
