"","item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"86","X8609",36.7625922767635,4,0.102539313160883,2.01598517600162e-07
"64","X8587",109.39910175178,12,0.102074702770242,7.86708547219194e-18
"38","X8561",30.7605204377782,4,0.0926720036950932,3.42577356207707e-06
"93","X8616",101.768151646779,14,0.0897089409197566,2.17142048355786e-15
"101","X8624",25.8993446055512,4,0.0838333525696379,3.31583401206719e-05
"30","X8553",86.5456558194981,15,0.0782487261394549,4.35353939090853e-12
"98","X8621",85.8994559719486,15,0.0778945536394422,5.7352262991874e-12
"79","X8602",78.4091460619438,14,0.0768494960628086,5.57558182792771e-11
"35","X8558",49.8816219218614,9,0.0763614339528168,1.13387827713931e-07
"3","X8526",85.659341065805,16,0.0747585657536754,1.56449906012899e-11
"88","X8611",85.3673998834833,16,0.0746017452975116,1.76873807798446e-11
"36","X8559",84.2330925940423,16,0.0739892811090512,2.84700809578585e-11
"25","X8548",100.234531183447,21,0.0695951331563267,2.62308279300912e-12
"9","X8532",97.3691586633564,21,0.0683251552002714,8.39824797837095e-12
"97","X8620",18.5193022985319,4,0.0682612362405245,0.000976601069562287
"43","X8566",50.6105576132169,11,0.0679892744601462,4.86001621727357e-07
"72","X8595",70.8611835147493,16,0.0663443381627548,7.04761095895023e-09
"99","X8622",78.8028360421778,18,0.0658501755278075,1.38693612603126e-09
"14","X8537",78.7282744060412,18,0.0658097875845438,1.42907748109319e-09
"31","X8554",20.1550298206476,5,0.0623770262764925,0.00116871488606058
"104","X8627",3.85570004544012,1,0.0605462939977992,0.0495772337074475
"6","X8529",70.4569943779045,19,0.0589626071318777,7.72078709896704e-08
"68","X8591",46.1251818956003,13,0.0571924539113175,1.35638032570233e-05
"8","X8531",44.6857926458207,13,0.0559360613468873,2.36088168906823e-05
"32","X8555",3.42372238904718,1,0.0557792548782406,0.0642659514631351
"82","X8605",60.4554210412825,18,0.0550251955627437,1.72676786552865e-06
"2","X8525",29.9276010857781,9,0.0546348481842089,0.000451340014431083
"23","X8546",61.8592266765568,19,0.0538116905429391,1.95895395803658e-06
"44","X8567",68.0661553759467,21,0.0536384211501633,7.1505240582286e-07
"107","X8630",74.0313699290273,23,0.0533686192225555,2.8565031973079e-07
"65","X8588",67.5731171642952,21,0.0533567387615026,8.56085017235303e-07
"20","X8543",70.5942822650849,22,0.0532491300265746,5.33133299976294e-07
"7","X8530",41.475487810616,14,0.0501926307774229,0.000149675927797446
"67","X8590",47.2732601252416,16,0.0500907873817455,6.17328389156848e-05
"75","X8598",20.5976068073567,7,0.049935970018223,0.004413679096764
"51","X8574",61.1549310070772,21,0.0495439998655463,8.52640695852586e-06
"18","X8541",63.9208704914155,22,0.0494578322128721,5.76951917278102e-06
"103","X8626",64.4572161453511,23,0.0481024748360991,8.45300264926794e-06
"61","X8584",58.2394091303094,21,0.0477114938488686,2.35008726599481e-05
"28","X8551",8.16389452541662,3,0.0470066525641572,0.0427431977029595
"94","X8617",21.6151957555265,8,0.0467410239945332,0.00568087777020179
"78","X8601",58.7663659520283,22,0.046317518490114,3.3957356091583e-05
"50","X8573",55.626835954013,21,0.0460074357749568,5.72500801417932e-05
"91","X8614",49.9920374294677,20,0.0438752150402827,0.000222058623114684
"66","X8589",39.4795002746721,16,0.043402595817601,0.000926992552530411
"46","X8569",54.0927670674976,22,0.0432736484640316,0.000159613682411929
"42","X8565",24.1299441554057,10,0.0425893972645643,0.00726284961342872
"47","X8570",34.6246522199922,15,0.0409813844836533,0.00278016001016429
"55","X8578",38.9877693594924,17,0.0407471649016085,0.00179424248505009
"54","X8577",43.2854926932167,19,0.0405067994729456,0.00118468549530967
"33","X8556",6.82818617848849,3,0.0404731651615969,0.077580432227997
"15","X8538",42.8131166269211,19,0.0401109169453085,0.00137475629768941
"90","X8613",42.0805958560399,19,0.0394891675718698,0.00172852340712425
"87","X8610",15.4533146590164,7,0.0393727517622833,0.0306082413704887
"56","X8579",28.691284392861,13,0.0393630590651342,0.00723853742647592
"12","X8535",37.3615556323738,17,0.0392113945382025,0.0030053183665152
"109","X8632",42.3932651132136,20,0.0379118505942701,0.00245693828823221
