"","a1","d","g","u"
"X8637",20.4260553065126,-44.2118776907162,0.0515377377830419,1
"X8638",-0.847242033555767,-3.59415720405134,0.0401952753884633,1
"X8639",31.8422044348539,-66.7584102015127,0.0167550476955887,1
"X8640",47.293382309846,-90.8287492501919,0.0840948586688102,1
"X8641",-2.48760959958922,-6.04800098370808,4.42134106404493e-07,1
"X8642",31.8924138582535,-66.8675043112689,0.0219108184890567,1
"X8643",-1.10577555696894,-5.38307527615664,9.60437265584657e-07,1
"X8644",1.39622260319625,1.62156168947632,9.92899485874989e-06,1
"X8645",2.72181652687279,-5.08841201120517,0.102425502233573,1
"X8646",2.28282256600208,-2.33443730414533,0.132018863681346,1
"X8647",9.2351499080049,-9.82801047429025,0.352926867283375,1
"X8648",-1.27028233679261,-7.16125311564178,0.0096376913240375,1
"X8649",31.9573127088281,-66.9945804090942,0.00515548839567301,1
"X8650",-0.282329113592603,-3.49229157048497,2.66795800587917e-05,1
"X8651",1.92220932608391,3.15620226192569,2.6685988148606e-05,1
"X8652",47.3322036280621,-90.8972691491597,0.0763321133999147,1
"X8653",-2.11548000193636,-6.20246044248653,0.00950411199088868,1
"X8654",-1.19938531039469,-4.77887129834585,0.0274869543725301,1
"X8655",0.0991187354029095,0.722287135440811,0.00099998973382291,1
"X8656",28.8312515059694,-53.5927192019134,0.0206227834435081,1
"X8657",-1.64386453490424,-6.49545945991591,5.11016892338816e-07,1
"X8658",31.9124527521515,-66.9067339899235,0.0167553334466143,1
"X8659",31.9523210694524,-66.9848007023651,0.00644436031938009,1
"X8660",-0.620363502538422,-3.2543110457776,1.75586657099253e-05,1
"X8661",0.97365008228269,0.608179336383181,0.107115097403747,1
"X8662",3.27864444960527,-3.80876974907125,0.224163704759052,1
"X8663",0.641652263643782,-0.615816959142975,1.50497127952987e-05,1
"X8664",0.838980488009106,1.13916942398901,1.44669815058788e-05,1
"X8665",44.3173167678762,-84.8635959791209,0.0348646967669557,1
"X8666",47.7592704492179,-91.6698142470214,0.00258753557069534,1
"X8667",0.158970103929167,0.221612454202554,0.000469866081327995,1
"X8668",-0.132303835969221,-2.82659427965387,6.79334240627148e-05,1
"X8669",31.0895931755189,-65.2774358129571,0.181730131398596,1
"X8670",31.1013119489583,-65.3127924960082,0.195907793151148,1
"X8671",0.968003465375709,1.28502958618569,0.00154908995837905,1
"X8672",-1.12217692629799,-4.92555198783112,0.0167806046481098,1
"X8673",2.68043517207218,3.85061687478869,1.52663982496986e-05,1
"X8674",1.73408684723576,2.8510686833125,2.94684797450133e-05,1
"X8675",43.3311285604964,-83.0633405291528,0.16166202881783,1
"X8676",-2.05392208493763,-7.2070327871157,5.02317181925791e-07,1
"X8677",-1.81560055375487,-5.28164734813788,0.0189555490916119,1
"X8678",-0.511123556575748,-5.26289421908919,0.0185086065658673,1
"X8679",7.71311717111452,13.2816853742493,1.7355945927858e-05,1
"X8680",0.219999975380506,-0.565624920025688,4.60086015368912e-05,1
"X8681",31.5414006874392,-66.1513312819115,0.0631539371555976,1
"X8682",31.9271066943998,-66.9353788509854,0.0128887190515456,1
"X8683",1.33380805187136,0.963483386454911,0.00866634995958959,1
"X8684",1.1125958786461,-1.34059602397972,0.414487000540591,1
"X8685",6.58359948814508,11.6941540852307,0.234597061025569,1
