,a1,d,g,u
X8750,2.68489710701808,-3.22175043233138,0.344076304419835,1
X8751,25.953815353466,-46.7769620426882,0.158510555483533,1
X8752,0.944209138381086,-1.4167922705822,0.124036129725059,1
X8753,-1.64728946846027,-5.76934054842891,0.00754432009911117,1
X8754,-2.41154295470466,-5.8363049816826,9.7739792908995e-07,1
X8755,0.638097015698451,-1.7413855718562,1.20924367174357e-05,1
X8756,25.7501452115711,-46.321110838573,0.0476806258939486,1
X8757,1.49128882465232,-5.4933487807757,0.024271274344635,1
X8758,25.841417617059,-46.6009533398881,0.192016816177124,1
X8759,0.114154981054077,-0.223225652633941,0.000361089414037602,1
X8760,25.9804734253936,-46.8383866420229,0.173975105788354,1
X8761,4.21271755851116,7.37954465864732,4.50740577394708e-05,1
X8762,0.970611932647001,0.0554357216034453,2.47648475138362e-05,1
X8763,-1.02810418391598,-5.63123219457097,1.96084238995653e-06,1
X8764,26.4328618960711,-47.533377495402,0.0141757783606864,1
X8765,3.74482569180061,3.17925793857259,0.0827636839429245,1
X8766,-0.881286376795546,-4.68524693184429,2.53605617388431e-06,1
X8767,26.4425612100312,-47.5480891828018,0.0103096574828739,1
X8768,1.1584087350379,0.178513718427656,9.91171321542632e-06,1
X8769,25.8965700830969,-46.6137374207256,0.0837651174613876,1
X8770,-0.84052204592794,-2.12420016875833,0.000336932691673766,1
X8771,-1.48711545135392,-3.92937861384898,0.0242748013172319,1
X8772,31.2285116800668,-43.6731520364803,0.0588428079484829,1
X8773,-1.61339928369507,-4.99134385928028,0.0129503291064604,1
X8774,-1.52753210260215,-5.30274653577456,0.0179390296402362,1
X8775,31.4141084325679,-45.2273768361893,0.00426845947958608,1
X8776,43.7278289511047,-65.4079781630693,0.0228400217727969,1
X8777,0.787081367753532,-0.333201545007823,8.29182887981622e-05,1
X8778,-1.53043013353248,-6.20745775618362,0.0191597564757054,1
X8779,0.146267904581791,-0.784712636055368,0.000301449352943949,1
X8780,4.40502344048605,-2.58322683200643,0.1728537888445,1
X8781,0.296318428219856,0.471552978051816,0.00025202436276415,1
X8782,-0.474139154870578,-2.72160391825789,0.00757115452108655,1
X8783,26.4198789710518,-47.5136800847739,0.0193306056258887,1
X8784,2.40871996847494,-4.3205990049416,0.2863967513299,1
X8785,-0.759977591913504,-4.01935611736875,5.20586611597609e-06,1
X8786,-0.749322449053045,-2.76893454405913,0.0483272907036051,1
X8787,-1.97694441444998,-5.87924739551517,1.02337367111101e-06,1
X8788,5.49711541665428,-3.5749996730505,0.164343126708314,1
X8789,-0.188263255674699,-3.1528693668681,6.00018294011469e-05,1
X8790,-1.01179211423011,-3.15627806433584,0.0381898773494876,1
X8791,3.71060408616916,5.82227754654279,3.44362895270604e-05,1
X8792,57.1460874895713,-5.84343278676465,0.370638165500937,1
X8793,-0.778531759542119,-2.23760872111717,0.005413647266149,1
X8794,-1.62132826353773,-6.49456334016227,0.00205089598605422,1
X8795,0.0268089402055301,-3.05618797793144,0.00403688122380282,1
X8796,1.1595477036627,0.106436346946705,1.82286836722225e-05,1
X8797,25.6723924238881,-46.3286110760067,0.231966545187161,1
X8798,2.82181555397336,-4.29303395169921,0.0957870572220116,1
X8799,5.9888099726534,-0.969167423183581,0.159565246064604,1
X8800,3.4048032862773,-6.51379862257023,0.010400773513991,1
X8801,26.3937236034258,-47.4739761780806,0.0296402582016203,1
X8802,2.14347153376544,2.77966496186654,1.98112513894866e-05,1
X8803,-0.530460232357226,-4.10839967107963,9.1023921692753e-06,1
X8804,-1.02130393718253,-4.37239735167991,0.000149795029145234,1
