"","Item1","Item2","Q3"
"92","X8341","X8383",0.66486502299397
"9","X8304","X8319",0.597501540344657
"21","X8328","X8333",0.556460869891814
"135","X8396","X8398",0.54605421374526
"134","X8394","X8398",0.531974344186774
"162","X8333","X8406",0.510109157531006
"7","X8315","X8316",0.497254396276223
"176","X8394","X8410",0.495915477625236
"34","X8326","X8345",0.438259599640189
"178","X8398","X8410",0.42937554331244
"141","X8338","X8399",0.409584409204262
"25","X8322","X8338",0.402602429223268
"166","X8405","X8407",0.401758472261179
"98","X8299","X8386",0.398641158923271
"82","X8307","X8382",0.395672588543877
"89","X8362","X8382",0.388719284245739
"130","X8394","X8396",0.387467617099578
"31","X8300","X8343",0.379629166846498
"131","X8359","X8398",0.376291357777465
"147","X8399","X8401",0.375093928153765
"126","X8359","X8396",0.370157116546898
"174","X8380","X8410",0.365929611441629
"133","X8380","X8398",0.361679875235439
"128","X8380","X8396",0.3566322115709
"15","X8314","X8326",0.352695108749513
"106","X8367","X8388",0.351626889531029
"13","X8312","X8322",0.351472017598851
"150","X8300","X8403",0.343006128667134
"119","X8381","X8392",0.339604212836798
"156","X8299","X8405",0.330190060457778
"165","X8364","X8407",0.328382951921799
"109","X8326","X8389",0.325731911891922
"2","X8308","X8311",0.323631551133711
"87","X8348","X8382",0.321673174069686
"6","X8310","X8316",0.313786364481981
"57","X8337","X8362",0.312952823751789
"151","X8370","X8403",0.312773432900012
"173","X8359","X8410",0.311476154010628
"38","X8332","X8347",0.310169924034819
"101","X8343","X8387",0.309420839561055
"5","X8310","X8315",0.308047592973682
"177","X8396","X8410",0.306740037653406
"23","X8309","X8338",0.306055669238924
"157","X8351","X8405",0.305432537688009
"91","X8329","X8383",0.30383594378932
"29","X8329","X8341",0.303419374574639
"81","X8311","X8381",0.302293163233472
"84","X8337","X8382",0.300348591137553
"48","X8299","X8351",0.300268625432586
"138","X8311","X8399",0.297412974327974
"27","X8303","X8340",0.291718465798379
"99","X8358","X8386",0.291027575966989
"125","X8380","X8394",0.290620039746034
"124","X8359","X8394",0.289772673988311
"70","X8312","X8371",0.285301417551004
"61","X8339","X8367",0.28494041655726
"45","X8347","X8349",0.283910392666101
"32","X8309","X8343",0.283378430525655
"55","X8348","X8361",0.278697784315346
"111","X8345","X8389",0.278376989395811
"115","X8348","X8390",0.273136492138282
"83","X8332","X8382",0.273127389611345
"127","X8365","X8396",0.272192899487835
"96","X8380","X8384",0.271179518861146
"41","X8330","X8348",0.269819918692426
"85","X8346","X8382",0.268271278703004
"10","X8318","X8319",0.265855574459232
"88","X8361","X8382",0.26553686507667
"104","X8329","X8388",0.264774468257243
"105","X8359","X8388",0.264774467785144
"65","X8300","X8370",0.26236238594011
"110","X8334","X8389",0.262297407770692
"103","X8301","X8388",0.261830407513104
"40","X8326","X8348",0.261499723146582
"58","X8348","X8362",0.260849457991454
"35","X8328","X8346",0.26079603038842
"54","X8347","X8361",0.260215634028265
"108","X8314","X8389",0.259811101985352
"77","X8362","X8378",0.25948969317866
"152","X8311","X8404",0.258287655204277
"53","X8326","X8361",0.257379524352613
"94","X8309","X8384",0.256323938146711
"43","X8337","X8348",0.256237136516203
"51","X8323","X8353",0.254325441387755
"120","X8346","X8393",0.254097652273711
"113","X8358","X8389",0.253396150982441
"143","X8350","X8400",0.252422689687046
"114","X8331","X8390",0.251307278261155
"1","X8309","X8310",0.249689202804511
"28","X8323","X8340",0.248873364237841
"137","X8309","X8399",0.248401653952463
"67","X8343","X8370",0.248218516201046
"153","X8328","X8404",0.247756089526277
"144","X8308","X8401",0.247474942905201
"97","X8334","X8385",0.247254839230992
"140","X8322","X8399",0.247143150056941
"146","X8338","X8401",0.246700797035517
"167","X8298","X8408",0.246693525070814
"136","X8308","X8399",0.24657331729201
