"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X270",4635,1,1,1,0
"X142",3088,2.07512953367876,2,30,1.26585442068926
"X468",1809,3.80541735765616,2,30,5.1380019031096
"X584",1615,11.2904024767802,3,30,7.5768185411782
"X210",1601,10.2979387882573,3,30,7.0217022151862
"X56",1595,9.30407523510972,3,30,6.14410406403315
"X398",1566,11.8646232439336,4,30,7.10664091744684
"X527",1564,10.6118925831202,3,30,6.98702841625407
"X400",1548,9.29392764857881,3,30,6.47850919550046
"X339",1548,15.859819121447,5,30,6.69168558336213
"X302",1541,9.65476963011032,3,30,6.53970577216633
"X793",1507,14.2899800928998,4,30,6.35201752409654
"X369",1473,9.1805838424983,3,30,6.40916700279888
"X336",1433,12.9651081646895,4,30,7.15570324791566
"X361",1405,13.8071174377224,4,30,6.48737151641857
"X13",1348,9.21661721068249,3,30,6.59377829703865
"X765",1343,18.0416976917349,8,30,5.4601704368227
"X511",1334,20.4047976011994,11,30,4.9529980838901
"X305",1296,14.533950617284,4,30,8.07716195870876
"X376",1259,20.9062748212867,11,30,4.50321740032834
"X638",1241,19.7131345688961,6,30,6.49403422918141
"X693",1227,16.840260798696,6,30,6.09419609407758
"X105",1225,17.3444897959184,6,30,6.61293452469309
"X514",1211,12.7605284888522,4,30,6.50762764544103
"X646",1199,12.7022518765638,4,30,6.93161829254422
"X720",1182,19.261421319797,8,30,5.63452379845707
"X587",1181,14.8357324301439,5,30,6.66601118827774
"X293",1154,22.3128249566724,11,30,4.89296273168971
"X500",1149,10.8537859007833,3,30,6.45875658410024
"X477",1143,18.9221347331584,7,30,5.92540243678631
"X4",1134,15.8271604938272,5,30,6.22412550220883
"X118",1023,10.7390029325513,3,30,6.95957813175533
"X714",1020,13.9166666666667,4,30,7.14465127708242
"X430",987,14.5055724417427,4,30,6.97392414667819
"X21",980,9.82551020408163,3,30,7.10688585834703
"X617",979,20.3861082737487,10,30,4.72322407656321
"X656",975,9.5425641025641,3,30,6.81057756174781
"X591",956,11.5407949790795,4,30,6.5861515028623
"X657",945,14.578835978836,4,30,7.63968624008926
"X463",918,12.223311546841,4,30,7.03203614289961
"X601",915,12.0295081967213,4,30,7.27185480439194
"X62",899,13.3503893214683,4,30,7.10724616616892
"X399",898,18.1458797327394,7,30,5.79103695204456
"X644",893,9.75923852183651,3,30,6.77680992670812
"X286",887,12.7373167981962,4,30,6.79611119167044
"X469",883,10.6704416761042,4,30,6.27985825046799
"X513",863,13.2769409038239,4,30,6.89520590069484
"X287",863,21.1796060254925,10,30,4.8789477520373
"X482",862,17.3503480278422,7,30,6.38070142176172
"X3",839,8.76400476758045,3,30,6.63785996367443
"X132",830,8.45421686746988,3,30,6.39018399082742
"X457",830,16.721686746988,4,30,8.15743088818297
"X127",827,24.7605804111245,19,30,2.70740061029987
"X544",825,15.1418181818182,5,30,6.80558801600575
"X580",825,20.3066666666667,10,30,5.06336227624027
"X307",824,16.8883495145631,7,30,6.23806059170115
"X729",818,14.1662591687042,4,30,7.8276562045179
"X174",817,14.6303549571603,5,30,6.76843589806419
"X365",812,9.78694581280788,3,30,6.85233915847764
"X189",793,9.37578814627995,3,30,7.19093979019241
"X695",773,22.9754204398448,13,30,4.39861803962263
"X300",759,19.7180500658762,11,30,5.575774815604
"X177",755,11.0887417218543,3,30,8.37555606488719
"X301",754,22.1763925729443,12,30,4.4452609601368
"X385",746,21.9839142091153,10,30,5.07762653565453
"X124",741,24.5209176788124,16,30,3.41438249254184
"X139",732,16.7527322404372,6,30,5.86280031598977
"X572",730,20.8753424657534,12,30,5.08981825633846
"X220",725,25.4193103448276,17,30,3.09975263118648
"X668",722,17.6315789473684,6,30,6.65391753670709
"X389",696,18.9669540229885,10,30,5.24236202770638
"X570",687,8.26346433770015,3,30,6.08890796660347
"X192",684,24.6973684210526,15,30,3.36599898110317
"X752",678,20.9144542772861,13,30,4.72352895329835
"X54",661,19.7352496217852,10,30,4.43960629632656
"X168",659,13.2594840667678,5,30,6.36964546266388
"X256",654,12.6253822629969,5,30,6.26143286988897
"X416",649,23.6902927580894,14,30,3.99358066003862
"X69",648,17.2098765432099,6,30,7.01769201527189
"X331",646,19.3668730650155,9,30,5.27213695161418
"X677",644,10.8183229813665,4,30,5.9463312249693
"X40",643,22.2892690513219,13,30,3.67787778194171
"X283",637,10.8100470957614,4,30,6.36495116239436
"X150",630,7.82857142857143,3,30,6.02979956985309
"X119",600,23.105,16,30,3.64318033292759
"X180",593,13.3001686340641,5,30,6.44186187611734
"X692",583,14.1423670668954,5,30,7.74654157768862
"X236",583,14.3293310463122,5,30,6.937963747431
"X234",577,9.38994800693241,4,30,5.7202220628819
"X556",577,20.2270363951473,10,30,5.96332224592488
"X671",572,23.1433566433566,15,30,4.43403583962158
"X499",566,10.065371024735,4,30,6.38230147854063
"X357",562,19.135231316726,7,30,5.05367313513012
"X530",560,16.25,4,30,7.13240482368135
"X57",557,9.54398563734291,4,30,5.79229399267985
"X770",555,13.8324324324324,4,30,7.67919692235011
"X45",553,16.6799276672694,6,30,7.55275494380265
"X568",553,23.2784810126582,15,30,3.87137252466479
"X100",548,22.5620437956204,15,30,3.9533131249025
"X261",548,25.8540145985401,19,30,3.0886716312771
"X798",542,20.7730627306273,10,30,4.38597300254482
"X186",534,11.3445692883895,4,30,6.74413083046415
"X167",523,21.9292543021032,11,30,4.1036341265276
"X198",521,25.2859884836852,19,30,3.00844571291546
"X534",513,17.588693957115,6,30,6.21399227942335
"X355",509,23.7387033398821,16,30,3.49641198095415
"X620",508,11.3661417322835,5,30,5.93553429211975
"X114",507,11.5542406311637,5,30,5.83319829400982
"X440",505,14.7207920792079,6,30,5.63676136947849
"X123",498,17.5923694779116,9,30,5.17155410288499
"X776",490,24.5612244897959,15,30,3.46665779807722
"X462",487,24.1026694045175,14,30,3.93278572505623
"X342",482,11.551867219917,4,30,6.36113513182081
"X196",482,21.4107883817427,9,30,5.23157372291802
"X151",473,20.0274841437632,12,30,4.95159679477987
"X518",472,22.1016949152542,11,30,4.39965223583891
"X521",469,22.8336886993603,14,30,4.62412563196004
"X327",468,21.7051282051282,11,30,5.32404100447782
"X280",456,13.3223684210526,5,30,6.88996911301156
"X242",454,24.6674008810573,17,30,3.20208869921105
