"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X270",4635,1,1,1,0
"X142",3089,2.06215603755261,2,28,0.996442187953999
"X468",1810,3.74309392265193,2,30,5.02869261391215
"X584",1647,11.3873709775349,3,30,7.5004599825057
"X210",1595,10.6633228840125,3,30,7.20223217475445
"X56",1583,9.55780164245104,3,30,6.36145060690511
"X398",1564,12.0588235294118,4,30,7.04526032512728
"X527",1556,10.5038560411311,3,30,6.84495152117036
"X400",1549,9.4796642995481,3,30,6.53595746152865
"X302",1547,9.3781512605042,3,30,6.50125779016704
"X339",1538,15.7613784135241,5,30,6.90823887808775
"X793",1507,14.5454545454545,4,30,6.56703285816232
"X369",1467,9.10224948875256,3,30,6.34827444176113
"X336",1428,12.8305322128852,4,30,7.28290030533207
"X361",1414,13.8606789250354,4,30,6.63002423346464
"X13",1352,9.80103550295858,3,30,6.86980965101841
"X511",1348,20.436943620178,11,30,4.88438265476053
"X765",1318,17.9605462822458,8,30,5.43589328152859
"X305",1309,14.7838044308633,4,30,7.95648604754137
"X376",1264,20.998417721519,11,30,4.5450151785699
"X693",1255,16.7091633466135,6,30,6.35040371077962
"X105",1238,17.4870759289176,6,30,6.95459888176123
"X638",1203,19.4114713216958,6,30,6.3112108539009
"X514",1202,13.0990016638935,4,30,6.82304092240451
"X646",1191,12.7615449202351,4,30,7.06038056663163
"X720",1190,19.5411764705882,8,30,5.77482445077708
"X587",1183,14.5942519019442,5,30,6.51155688163638
"X477",1160,18.8198275862069,7,30,5.90807814548702
"X4",1149,15.8120104438642,5,30,6.17665283892285
"X500",1146,10.7792321116928,3,30,6.54278132999287
"X293",1141,22.2638036809816,10,30,4.89016154183936
"X118",1039,10.7949951876805,3,30,6.91897324227642
"X714",1029,13.5510204081633,4,30,7.18803666097123
"X617",982,20.2637474541752,11,30,4.73698543362095
"X430",976,14.5,4,30,6.8252923296087
"X656",973,9.42034943473792,3,30,6.6157839913465
"X591",969,11.7316821465428,4,30,6.52982962692872
"X21",962,9.86382536382536,3,30,7.11326245326966
"X657",937,14.6766275346852,4,30,7.62635851307045
"X601",926,11.7246220302376,4,30,7.09859358873752
"X62",917,12.9389312977099,4,30,7.076822689643
"X463",916,12.2871179039301,4,30,6.99300884226888
"X644",887,9.01127395715896,3,30,6.4791632737064
"X286",882,12.9251700680272,4,30,6.63385370736886
"X399",880,17.9409090909091,6,30,5.89584679342343
"X469",874,10.6144164759725,4,30,6.17565133093555
"X482",861,17.2973286875726,7,30,6.36815148382234
"X457",856,16.6939252336449,4,30,8.35833501503997
"X513",853,12.694021101993,4,30,6.65560756791938
"X287",852,21.4741784037559,10,30,4.78914164569861
"X3",847,8.61511216056671,3,30,6.71617490802663
"X580",825,20.1987878787879,10,30,5.06383987277782
"X127",825,24.8824242424242,19,30,2.73097904479344
"X307",823,16.8626974483597,7,30,6.15468535662125
"X729",821,13.979293544458,4,30,7.75278455013421
"X544",819,15.019536019536,5,30,6.82990041199428
"X174",804,14.0223880597015,5,30,6.51539005855368
"X132",801,8.54931335830212,3,30,6.31924660485202
"X365",801,9.50062421972534,3,30,6.66504404410523
"X177",801,11.063670411985,3,30,8.36179950795497
"X695",769,22.9752925877763,12,30,4.426266673573
"X189",760,9.53684210526316,3,30,7.16500134658131
"X572",757,20.9669749009247,12,30,4.98332860494057
"X300",755,19.6278145695364,10,30,5.41272886922334
"X301",754,22.2745358090186,12,30,4.56590678445369
"X124",748,24.5628342245989,17,30,3.35615616323594
"X385",743,21.8748317631225,10,30,4.98749911050805
"X668",728,17.7898351648352,6,30,6.75559218962256
"X139",726,16.702479338843,6,30,5.6137436690974
"X220",716,25.3994413407821,17,30,3.31383195182645
"X389",703,19.2062588904694,10,30,5.28167995117741
"X192",681,24.712187958884,16,30,3.32892599707943
"X677",677,11.0295420974889,4,30,6.46673430725788
"X752",677,21.2008862629247,13,30,4.83770317345341
"X570",669,8.63677130044843,3,30,6.12699135733255
"X416",668,23.2634730538922,14,30,4.03277961932504
"X150",660,7.86515151515152,3,30,6.31314817551127
"X69",660,17.3166666666667,6,30,7.05805286662568
"X54",660,19.9363636363636,9,30,4.51322912515604
"X331",650,19.14,10,30,5.32752540721871
"X256",649,12.5593220338983,5,30,5.88862238674944
"X168",641,13.4165366614665,5,30,6.60040064022969
"X283",635,11.0944881889764,4,30,6.72702665024405
"X40",633,22.5402843601896,13,30,3.79440434711314
"X119",605,22.8347107438017,16,30,3.55409265867636
"X556",595,20.0302521008403,9,30,5.93021360812759
"X234",593,9.12141652613828,4,30,5.65315894860319
"X180",590,13.2559322033898,5,30,6.41204753131033
"X499",573,10.0052356020942,4,30,6.47088480525856
"X236",573,14.0261780104712,5,30,7.08546815448753
"X57",568,9.97887323943662,4,30,6.18921894746588
"X530",566,16.4628975265018,4,30,7.22320753991617
"X357",564,19.3652482269504,7,30,5.32308869879978
"X568",562,23.3309608540925,15,30,3.92361134560175
"X692",557,13.8850987432675,5,30,7.83584347858019
"X45",548,16.5875912408759,6,30,7.38059063599141
"X770",547,13.2888482632541,4,30,7.34253027701454
"X671",547,23.1261425959781,14,30,4.21411724770815
"X100",546,22.3589743589744,15,30,4.02552430356685
"X261",539,25.9814471243043,18,30,3.10168873275117
"X186",536,11.1996268656716,4,30,6.49883381707871
"X167",536,21.9384328358209,10,30,4.02909240112323
"X798",530,20.7339622641509,8,30,4.42870185831041
"X534",518,17.530888030888,6,30,6.03455648222374
"X123",514,17.7334630350195,9,30,5.39664259858271
"X355",513,24.0253411306043,16,30,3.54234169693661
"X776",510,25.0607843137255,17,30,3.37653863240142
"X620",509,11.4145383104126,5,30,5.87225097629087
"X440",503,15.2047713717694,6,30,5.81588505915739
"X196",503,21.8131212723658,10,30,5.2651665580179
"X198",502,25.0996015936255,19,30,3.04818912254208
"X114",491,11.89816700611,5,29,5.571961210859
"X518",484,22.4276859504132,12,30,4.4196223966434
"X462",482,24.2178423236515,16,30,3.84797556084682
