"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X909",4680,1,1,1,0
"X523",2723,3.94454645611458,2,77,6.24060282567322
"X763",2663,3.2628614344724,2,43,4.83305038578185
"X164",2344,25.4560580204778,6,119,17.8842901323071
"X427",1931,9.0269290523045,3,41,6.97005436636568
"X1250",1711,74.9386323787259,26,338,80.7341842871685
"X167",1682,16.0047562425684,3,69,12.1666487591526
"X163",1682,17.3263971462545,4,141,22.8651714755696
"X246",1680,79.3815476190476,34,314,77.1359127380664
"X5",1638,22.8803418803419,4,147,25.4332351144404
"X1099",1628,18.0798525798526,3,85,11.8798952428082
"X860",1625,81.9003076923077,42,266,59.4048886392378
"X678",1620,74.1777777777778,22,326,75.5219875210873
"X846",1609,88.0105655686762,48,277,62.509983383678
"X601",1608,61.0130597014925,7,500,109.904661761365
"X1083",1587,76.3207309388784,25,324,70.7264045823061
"X663",1585,103.191167192429,18,496,144.410931350952
"X541",1584,102.744318181818,30,429,120.140719368266
"X744",1564,10.3203324808184,3,54,7.8123593137269
"X544",1563,24.1324376199616,5,97,14.8494274779522
"X480",1560,93.8839743589744,52,291,62.9582469507702
"X1050",1534,12.6023468057366,4,111,11.3328756925224
"X687",1525,16.1167213114754,4,122,14.3016624312793
"X765",1520,10.8618421052632,3,47,8.02600229660521
"X475",1518,26.6429512516469,3,79,19.6473940259131
"X1110",1511,20.4546657842488,3,95,19.8577831773678
"X32",1501,101.118587608261,40,336,89.4467994262725
"X1058",1499,89.2795196797865,57,213,41.3257265522282
"X634",1493,75.523777628935,29,500,98.7354849205836
"X736",1488,9.47244623655914,3,46,7.45805893674985
"X76",1482,17.0263157894737,5,108,14.2729723779774
"X191",1477,31.1110358835477,5,88,20.1540105101783
"X1044",1469,34.7072838665759,10,500,38.8153258102239
"X966",1462,19.4582763337893,3,131,21.9811840832211
"X362",1460,26.436301369863,7,92,14.6628800755258
"X346",1451,36.1440385940731,8,83,16.1575197809445
"X955",1445,24.7854671280277,4,110,18.3818661170668
"X12",1431,28.1816911250874,4,144,32.1374970011937
"X988",1423,46.011243851019,19,103,13.2586998771394
"X1267",1420,110.645070422535,34,414,116.249134410663
"X612",1417,10.7339449541284,4,43,6.95530003819113
"X864",1416,11.0720338983051,4,45,7.31157427675489
"X868",1410,41.6085106382979,14,92,17.1325127614687
"X617",1409,11.0361958836054,4,44,6.54036602883568
"X998",1386,22.1378066378066,4,144,26.0668216429382
"X334",1383,94.4793926247288,67,186,27.0948001095009
"X545",1373,9.76183539694101,3,42,7.32259175303611
"X260",1369,19.5887509130752,5,116,15.522090153142
"X648",1363,96.9728539985326,50,210,38.6509474440729
"X31",1356,41.4815634218289,7,100,23.930010787697
"X55",1346,90.0215453194651,40,244,41.7058951658864
"X304",1345,33.2468401486989,4,140,26.7312747248546
"X1067",1331,46.2644628099174,13,101,23.5832377883028
"X1228",1324,129.972054380665,40,494,149.752928204019
"X642",1309,44.3498854087089,14,145,30.8107043891612
"X539",1306,8.21133231240429,3,40,7.04553728385703
"X213",1277,106.112764291308,57,267,63.5528052967224
"X1073",1268,125.723974763407,71,298,69.9002863548631
"X1168",1256,47.4171974522293,4,500,114.068405382044
"X266",1244,10.4646302250804,3,53,8.13093987248081
"X640",1229,33.2278275020342,8,116,20.0950147021348
"X411",1216,16.0057565789474,3,61,10.6340922250942
"X1039",1212,41.3481848184818,5,100,28.0277240651644
"X776",1212,52.0049504950495,16,156,26.1604647831206
"X1098",1209,52.5359801488834,19,97,20.1908666664244
"X551",1205,102.035684647303,76,170,20.6630430995299
"X259",1203,30.3582709891937,8,140,27.1061355298779
"X83",1187,22.8315080033698,5,100,18.7075275359905
"X1016",1187,26.0261162594777,6,95,16.8019961472691
"X632",1181,16.969517358171,5,71,11.1668737801184
"X344",1177,24.8691588785047,7,119,17.4727642888569
"X533",1173,19.2958226768968,4,120,16.109436678912
"X875",1171,58.4568744662681,27,113,16.2488808861333
"X897",1167,61.070265638389,30,129,16.4419097556543
"X1177",1154,15.0632582322357,4,41,7.63081249597291
"X685",1148,14.4965156794425,3,59,9.48264996965551
"X126",1143,23.6351706036745,5,99,17.1529859374088
"X1229",1137,71.377308707124,5,500,139.287956412439
"X1080",1137,111.552330694811,69,253,54.1835457873304
"X340",1131,18.0203359858532,6,45,6.83358004052045
"X190",1121,109.010704727921,73,213,42.8750871671674
"X976",1109,12.3237150586114,4,41,7.56409354090961
"X960",1077,34.1745589600743,14,148,21.6868808722251
"X701",1074,12.7188081936685,4,44,7.32541949690758
"X50",1073,8.58900279589935,3,37,7.24193776076374
"X243",1071,23.5714285714286,6,121,16.5683598281945
"X999",1070,12.2271028037383,4,39,7.40703619792132
"X419",1052,130.557984790875,52,361,107.491311192362
"X839",1048,25.4599236641221,13,62,5.81687404719161
"X872",1032,74.218992248062,17,498,134.394992732372
"X1222",1029,60.7531584062196,36,151,27.5724955689891
"X1128",1021,84.9598432908913,63,141,11.1308330632213
"X1075",1021,124.616062683643,65,288,75.6855821777198
"X230",1017,104.790560471976,44,285,64.7707221377119
"X1072",1013,29.4175715695953,10,126,16.5688874356666
"X1263",1009,39.1526263627354,19,137,20.3483184326335
"X149",992,42.9657258064516,14,143,22.6707855028285
"X953",981,38.5912334352701,5,110,25.8417295143613
"X832",980,144.191836734694,58,384,114.147315952752
"X720",978,137.28936605317,66,332,92.4109968189258
"X841",974,50.8480492813142,28,159,22.1459586696855
"X616",967,13.2285418821096,4,49,7.20611169780887
"X1159",966,53.9575569358178,28,119,20.9568829465057
"X1052",965,50.2445595854922,23,119,23.5945235034444
"X60",957,9.30094043887147,3,38,7.73484002166009
"X294",950,29.9315789473684,4,114,29.2100880532675
"X357",948,123.695147679325,42,500,140.096327162995
"X1138",939,10.2055378061768,3,49,8.47782327155242
"X248",935,40.0641711229947,16,124,18.0288298070206
"X1210",935,68.9775401069519,44,155,24.2098810136728
"X722",928,88.104525862069,58,150,21.7981537026664
"X802",926,42.6673866090713,18,115,18.736971836325
"X703",923,138.130010834236,76,308,78.472084918066
"X1241",922,19.0357917570499,7,43,6.55121134682495
"X911",910,44.0076923076923,22,113,16.7401333320744
"X808",909,9.58745874587459,4,32,6.61065561452553
"X1046",905,14.9624309392265,4,49,7.21391865788501
"X688",905,43.585635359116,14,118,26.7865541586506
"X520",902,60.609756097561,14,149,31.161151326511
"X424",897,33.0501672240803,16,94,14.8606902386574
"X1162",896,34.8058035714286,5,123,29.6984135125701
"X1258",896,55.8828125,29,120,22.6573873486437
"X880",895,26.4949720670391,15,54,5.4998197422466
"X464",887,44.7857948139797,24,128,18.4931596473168
"X343",878,62.8496583143508,21,144,23.7925794248332
"X373",876,41.4577625570776,8,137,29.0643313498986
"X581",862,15.1252900232019,5,42,8.04188141968569
"X229",861,160.966318234611,77,384,112.922457564291
"X602",860,80.4627906976744,35,500,88.4515205595279
"X567",859,110.983701979045,88,162,12.0677850368917
"X1204",856,38.0934579439252,6,133,31.6649957705894
"X542",854,41.7353629976581,23,134,15.9314987324182
"X931",853,47.8393903868699,22,120,23.0290945924932
"X895",850,62.2705882352941,25,124,21.0314074605424
"X651",849,11.9163722025913,4,35,7.42375254961436
"X234",845,45.9526627218935,12,132,30.2228317249554
"X549",844,52.6374407582938,34,120,16.6045719979802
"X625",841,113.630202140309,94,158,9.7597321919759
"X1153",838,54.9081145584726,24,131,26.8531099859062
"X627",831,9.87605294825511,4,32,6.69815956143522
"X526",830,49.7373493975904,11,134,26.7234133837987
"X226",829,58.5235223160434,26,127,26.2463890158356
"X1260",826,66.5556900726392,48,145,15.0107815094092
"X1144",819,10.1428571428571,4,32,7.06157737027213
"X524",801,106.404494382022,8,499,150.433236619356
"X672",794,21.2783375314861,9,38,4.93609698798876
"X440",783,72.5415070242656,13,500,138.555732648995
"X686",781,31.9475032010243,4,132,30.2114523970214
"X42",779,180.209242618742,75,440,137.74187370043
"X175",778,120.632390745501,103,164,11.5992091192476
"X204",777,67.1814671814672,34,141,24.6354192758344
"X866",772,18.3186528497409,5,61,10.9322647091903
"X1082",769,17.3615084525358,5,39,6.6805357673075
"X289",768,68.484375,34,138,25.4463623448243
"X161",762,72.0748031496063,48,133,15.3272123320532
"X677",752,198.543882978723,84,486,156.773308449364
"X119",751,41.4487350199734,11,139,26.7096431100148
"X979",750,14.676,5,44,7.52851880920903
"X694",747,67.2623828647925,42,132,22.4766954961566
"X151",745,43.4322147651007,8,142,24.7088646657853
"X1180",741,28.1052631578947,4,139,26.4566394230075
"X1208",736,66.2676630434783,47,125,14.5411576507416
"X712",731,205.110807113543,78,492,162.559384405788
"X964",727,18.0674002751032,6,40,6.44447543387327
"X673",727,63.2200825309491,30,140,25.1497111472891
"X1091",723,80.4536652835408,51,140,20.630007921758
"X414",712,26.1446629213483,4,171,27.9686407605071
"X14",710,55.0464788732394,19,147,25.5736295938319
"X429",709,95.8575458392102,9,457,120.704011912234
"X26",698,45.8381088825215,4,147,32.0857599540269
"X817",695,17.2374100719424,5,49,6.76167230075373
"X512",688,79.6773255813954,50,148,16.5074358560935
"X116",688,87.0232558139535,70,155,14.3967299733561
"X502",687,72.627365356623,47,124,14.0997387199132
"X702",681,27.0425844346549,17,54,5.31559374296859
"X17",679,53.5095729013255,6,164,33.9863691177142
"X342",666,73.1141141141141,19,157,28.7742921844793
"X383",662,204.021148036254,91,451,141.486829780737
"X350",657,223.458143074581,96,497,167.394356468921
"X1",654,74.4556574923547,40,146,21.4840021704701
"X1216",647,10.4976816074189,5,33,6.11395228746445
"X1092",645,66.9007751937985,5,498,127.30875103252
"X456",637,84.5667189952904,53,500,34.0289003707804
"X242",636,57.4449685534591,4,494,130.024813342996
"X508",636,76.7688679245283,53,119,12.2538133923034
"X575",636,221.256289308176,90,486,156.797312491244
"X652",635,68.1370078740158,43,130,14.4562365960861
"X49",635,83.6582677165354,61,135,16.1255349406041
"X621",628,145.751592356688,112,207,28.2861108045274
"X795",626,101.41054313099,69,145,17.0907923942846
"X923",623,89.7993579454254,7,498,150.907756581203
"X1086",621,80.8405797101449,52,142,16.0318844298813
"X956",621,230.49114331723,96,500,162.580259094513
"X314",614,233.452768729642,94,486,160.430345658115
"X815",613,50.8727569331158,5,500,111.70043442494
"X46",611,88.2847790507365,44,156,22.54628930413
"X155",606,102.846534653465,75,159,13.1385954519828
"X650",604,10.8923841059603,5,30,6.28562879100578
"X108",602,61.6478405315615,4,163,40.5699277617075
"X212",602,85.8787375415282,15,175,30.48477287825
