"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X909",4680,1,1,1,0
"X523",2709,3.65190107050572,2,30,4.75316666230038
"X763",2656,3.03614457831325,2,30,3.87743144641533
"X427",1903,9.0026274303731,3,30,6.665391052889
"X164",1818,17.520902090209,6,30,6.09228721603014
"X744",1552,9.83247422680412,3,30,7.02213701920932
"X163",1527,11.7642436149312,4,36,6.68859515726841
"X765",1498,10.5173564753004,3,30,7.61402078050663
"X1050",1481,10.8453747467927,4,30,6.32378558029532
"X167",1464,12.233606557377,3,32,7.11770517584021
"X736",1460,9.3541095890411,3,30,6.84739787593264
"X617",1432,10.7709497206704,4,30,6.21751496330517
"X864",1415,10.0911660777385,4,31,6.22158261405083
"X612",1406,10.4601706970128,4,30,6.40569528392398
"X687",1381,13.1194786386676,4,32,6.70405923025506
"X1099",1367,14.087783467447,3,30,7.41133366894877
"X545",1347,9.38530066815145,3,30,6.55998886453666
"X5",1333,12.4441110277569,4,34,6.71832945413741
"X76",1284,13.018691588785,5,30,6.83724335166864
"X539",1259,8.00079428117554,3,30,6.40839815680826
"X266",1257,10.2036595067621,3,30,7.43634682577887
"X1110",1194,11.5226130653266,3,30,6.77737777423905
"X966",1190,10.7058823529412,3,33,6.75779827534843
"X260",1182,14.1548223350254,5,32,7.16153685230705
"X362",1169,20.5235243798118,6,30,5.44426956806477
"X12",1163,14.0326741186586,4,30,6.86611315057244
"X1177",1151,15.1841876629018,4,30,7.435926433639
"X544",1148,16.7987804878049,5,31,6.28060203278563
"X411",1144,13.2867132867133,3,30,6.96610705170264
"X998",1130,11.3637168141593,4,31,6.4726386298052
"X1168",1120,15.9848214285714,4,30,7.24218736949024
"X685",1091,12.7140238313474,3,30,7.08265586915667
"X976",1069,11.9831618334892,4,30,6.62121893466107
"X340",1066,17.4409005628518,6,30,6.05954620587127
"X632",1044,14.6877394636015,5,30,6.93803577583616
"X999",1034,12.1382978723404,4,31,7.09670603847789
"X701",1025,12.7239024390244,4,31,6.95808210867747
"X50",1014,8.37278106508876,3,30,6.85263647156681
"X533",1005,14.5034825870647,4,35,7.13244353694541
"X955",987,14.4944275582573,4,30,7.14218954896304
"X344",957,18.5193312434692,7,30,5.93997981661158
"X475",953,12.7523609653725,3,30,7.30010627784873
"X1229",951,18.4342797055731,5,30,6.64590435662987
"X83",945,14.4275132275132,5,30,6.82741891201131
"X616",939,12.5473908413206,4,30,6.36141764412847
"X60",928,8.89870689655172,3,30,6.88669890751732
"X1046",926,14.6555075593952,4,30,7.19242145530652
"X808",916,9.24672489082969,4,30,6.26380357000253
"X1016",916,18.985807860262,5,30,6.38481938519965
"X259",913,19.1664841182913,7,30,5.31947497883581
"X1138",893,9.51959686450168,3,30,7.80399655107165
"X126",889,15.6827896512936,5,30,6.76591772485687
"X243",880,17.5602272727273,5,30,6.14285825740643
"X839",876,23.8036529680365,14,30,3.87965069274502
"X1044",872,21.1272935779816,10,30,4.60455402947815
"X640",842,21.9334916864608,8,30,4.9487595023099
"X1241",837,18.2962962962963,7,30,5.82854287995645
"X581",833,14.3205282112845,5,30,6.81269133178628
"X651",831,11.2178098676294,4,30,7.22091810852825
"X304",826,15.9237288135593,4,30,6.79609468206417
"X627",810,9.61728395061728,4,30,6.44759784368435
"X191",798,14.9197994987469,5,32,6.7796347162455
"X1144",786,10.0381679389313,4,30,7.17505009741556
"X1082",784,17.2295918367347,5,30,6.33370370659192
"X672",776,21.3492268041237,9,30,4.93942134995229
"X872",773,25.7063389391979,16,30,3.07638905380318
"X880",755,24.7112582781457,15,30,3.63213156622541
"X979",748,13.7847593582888,5,30,6.82172549755328
"X817",707,17.039603960396,5,30,6.29434872764875
"X1072",707,21.8302687411598,9,30,5.12860558567872
"X601",688,21.1438953488372,7,30,5.50357226328086
"X1216",673,10.7800891530461,5,30,6.44591200216532
"X294",670,14.1388059701493,4,31,6.72612769644638
"X866",666,15.463963963964,5,30,7.06783832222239
"X964",665,17.5473684210526,6,30,5.7603701529765
"X960",658,23.7127659574468,14,30,3.7454615389783
"X642",645,23.3410852713178,13,30,3.84783581189012
"X31",629,19.3195548489666,8,30,5.3389521436896
"X440",626,24.1916932907348,13,30,4.26464475521454
"X1039",621,17.9307568438003,5,30,6.01611043356455
"X242",590,14.2135593220339,4,30,7.71688021682695
"X346",587,20.2538330494037,8,30,6.26834221483245
"X650",586,11.5068259385666,5,30,6.45092886656222
"X424",578,24.8546712802768,15,30,3.53045487015431
"X1041",576,18.96875,6,30,5.74614237327209
"X1162",575,16.3165217391304,5,30,6.16022888668703
"X700",573,10.5776614310646,5,30,6.28570835201326
"X497",564,11.6648936170213,5,30,6.46807502139901
"X815",553,12.119349005425,5,30,6.20339478203791
"X953",551,19.5535390199637,5,30,5.67549286588816
"X414",548,13.0711678832117,4,31,6.96875036371135
"X307",534,18.2752808988764,5,30,5.80524019406746
"X1092",528,14.2594696969697,5,30,7.58249415133683
"X1067",523,22.2217973231358,12,30,4.0787909312392
"X577",520,22.3538461538462,12,30,4.43599141801231
"X524",520,31.2942307692308,10,499,69.9266885947503
"X1127",519,20.26204238921,8,30,5.17499971743185
"X702",510,25.2176470588235,17,30,3.22101436647807
"X1204",508,18.2165354330709,6,30,6.27951509804635
"X656",508,21.6338582677165,11,30,4.55643932528899
"X1180",505,13.8435643564356,4,30,7.15899944017607
"X686",504,15.8373015873016,4,30,7.0455291197224
"X18",499,14.7835671342685,4,30,8.32649823107954
"X586",496,21.5625,12,30,4.39330585819339
"X923",494,19.5263157894737,7,30,5.95540525182478
"X868",494,24.0323886639676,13,30,3.75666595670911
"X429",494,40.2287449392713,12,461,81.6847593023055
"X624",489,11.1820040899796,5,30,6.23001750451318
"X682",485,21.7051546391753,13,30,4.49996260622711
"X605",483,14.7515527950311,5,30,6.54480033952451
"X582",477,11.0251572327044,5,30,5.90180468646318
"X1201",469,16.6289978678038,6,30,6.96441590880744
"X373",457,20.5951859956236,8,30,5.33280755546861
"X510",454,12.3237885462555,5,30,6.67759640761578
"X1012",446,16.6479820627803,6,30,6.58389816293526
"X27",436,14.9036697247706,5,30,7.42502047343288
"X30",427,24.824355971897,13,30,4.22040279597937
"X940",419,13.0023866348449,5,30,6.30200803673971
"X172",418,21.4138755980861,10,30,5.19485992072913
"X1018",410,22.5634146341463,12,30,4.53372346515147
"X679",405,16.1481481481481,7,242,18.4951901100183
"X688",401,22.7955112219451,13,30,3.97845193517513
"X219",398,19.2713567839196,6,30,6.50144209295151
"X584",396,17.7676767676768,6,461,37.4450019061755
"X1263",395,25.9949367088608,19,30,2.60026837418976
"X663",389,50.7506426735219,17,474,101.475668867018
"X667",372,21.7338709677419,7,317,40.1375886106349
"X193",372,32.6720430107527,7,374,65.7348260548528
"X547",368,26.2065217391304,8,316,45.8067348768259
"X119",364,23.1291208791209,12,30,4.39349986893088
"X420",361,15.0526315789474,4,30,7.81060532580898
"X234",359,22.3454038997214,12,30,4.57011482210757
"X232",358,12.7877094972067,6,30,5.97376756666861
"X591",350,32.2485714285714,14,237,38.0357761871588
"X781",349,33.2292263610315,16,214,36.1629319761604
"X947",348,14.8074712643678,6,30,6.33641426584874
"X488",346,33.1936416184971,7,405,70.330400914449
"X678",345,45.2898550724638,22,325,68.7192852000744
"X355",344,14.7209302325581,6,30,7.11611510417562
"X590",343,16.6297376093294,7,294,19.5364389391255
"X217",342,26.4356725146199,7,498,73.2516268432101
"X149",341,24.4604105571848,15,30,3.95738904661156
"X248",341,26.0879765395894,17,30,2.95025457715707
"X37",335,29.7940298507463,13,480,48.0523911952355
"X1145",331,19.5770392749245,8,30,5.59620691304426
"X1108",328,18.0091463414634,9,30,5.83644894367257
"X492",328,21.1890243902439,9,30,5.36048530592144
"X825",327,17.8348623853211,6,30,7.81517372776284
"X774",324,15.9259259259259,6,30,7.21587135761194
"X26",324,19.4598765432099,4,30,7.23991310585817
"X802",323,25.9318885448916,17,30,2.97426933873522
"X127",322,16.2701863354037,6,30,6.41636677427291
"X1178",322,23.1925465838509,14,30,4.01557020690813
"X1125",321,29.417445482866,14,496,50.71828018283
"X894",320,16.625,8,210,14.9912200009201
"X1061",320,24.54375,14,30,3.6039805144575
"X854",319,20.2507836990596,11,30,4.56536637506798
"X521",313,27.3162939297125,21,30,2.11351489121314
"X537",312,13.5192307692308,6,30,6.67188867126477
"X902",309,17.0161812297735,6,30,7.48091057505597
"X1060",307,18.4169381107492,7,30,6.14918877741936
"X422",303,21.8217821782178,11,30,5.2337342592806
"X472",300,14.8766666666667,6,30,6.66153453518284
"X227",298,15.6543624161074,8,33,5.50279981655469
"X563",293,21.1058020477816,11,30,5.14705665874701
"X78",287,18.7735191637631,6,496,29.0828499883748
"X914",284,25.1971830985915,18,30,3.11893665992401
